,SRCID,OBSID,SRC_NUM,EP_ONTIME,INST,FEAT_VALS
0,205100107010010,0842761401,13,80021.38,PNX,"[[0.34992084 0.2739726  0.06849315 0.         0.         0.
  0.         1.06864547 0.57043376 0.18737858 5.33776665 0.17287423
  0.32394366 1.90582581]]"
1,200287401010057,0824570101,94,97726.9,PNX,"[[ 0.55864549  0.36633663  0.02970297  0.          0.          0.
   0.          1.23238681  0.32439784 -0.38412067 -7.68495989  0.13158099
   0.4040404   1.87548958]]"
2,208222801010016,0822280101,16,68077.99,PNX,"[[ 0.31506979  0.30769231  0.03076923  0.          0.          0.
   0.          1.42346673  0.07863779 -0.24497893  3.09087253  0.16808456
   0.33333333  1.72751446]]"
3,208708502010029,0870850201,29,61825.39,PNX,"[[ 0.97763914  0.13333333  0.05        0.03333333  0.01666667  0.
   0.          0.62555269  2.54963139  7.27215971 -9.99664307  0.09802024
   0.51724138  1.7174905 ]]"
4,208272503010012,0911990501,56,91679.55,PNX,"[[ 0.5950942   0.19148936  0.04255319  0.0212766   0.          0.
   0.          1.13268463  1.25253147  2.04490516 15.35008144  0.29951778
   0.36956522  1.30097457]]"
5,204010901010044,0401090101,44,61185.39,PNX,"[[ 0.91682553  0.13793103  0.05172414  0.03448276  0.          0.
   0.          0.73504796  2.23346953  5.45915521 -4.49986124  0.16866669
   0.53571429  1.59671705]]"
6,208106001010052,0810600101,52,55983.8,PNX,"[[1.11020494 0.10909091 0.07272727 0.03636364 0.01818182 0.
  0.         0.55598482 2.3745139  5.69787411 9.12945366 0.17596704
  0.66037736 0.67184222]]"
7,208421101010094,0842110101,94,60187.39,PNX,"[[  0.43375856   0.27083333   0.04166667   0.           0.
    0.           0.           1.45154157   0.36139697   0.18088558
  -18.65862656   0.16424873   0.34782609   1.56181993]]"
8,201125702010063,0672130701,95,70020.64,PNX,"[[ 1.41978467e+00  7.05882353e-02  4.70588235e-02  2.35294118e-02
   1.17647059e-02  1.17647059e-02  1.17647059e-02  5.67713384e-01
   4.19649752e+00  2.19115880e+01 -1.20890369e+01  5.17664626e-02
   6.26506024e-01  6.24584858e-01]]"
9,200651401010027,0723802101,44,99948.09,PNX,"[[ 2.71646768e-01  3.87500000e-01  2.50000000e-02  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00  1.42566534e+00
   2.08046192e-01 -5.67025938e-01 -2.55878716e+01  1.98359922e-01
   3.58974359e-01  1.60286556e+00]]"
10,207232201010044,0723220101,44,65430.39,PNX,"[[ 0.45792443  0.44444444  0.02469136  0.          0.          0.
   0.          1.54395004  0.21980933 -0.72729942  2.96068811  0.14442243
   0.35443038  1.9313268 ]]"
11,208448601010042,0844860101,42,84780.95,PNX,"[[ 0.95305181  0.09677419  0.05376344  0.03225806  0.02150538  0.
   0.          0.71380685  2.90644046  9.52543966 -4.79438353  0.32417038
   0.52747253  0.85574154]]"
12,208448601010051,0844860601,48,63974.25,PNX,"[[ 0.930776    0.14666667  0.08        0.02666667  0.          0.
   0.          0.93142724  1.66040765  1.94916917 22.75020409  0.2386166
   0.83561644  0.69249071]]"
13,207956301010072,0795630201,33,50765.09,PNX,"[[ 0.55929929  0.21153846  0.03846154  0.01923077  0.          0.
   0.          1.08671288  1.11965438  1.17640254 -5.65689087  0.14558828
   0.42        0.92790651]]"
14,203011516010030,0795630101,76,88529.2,PNX,"[[  0.82102633   0.2952381    0.05714286   0.           0.
    0.           0.           1.36960526   1.02488651   0.2237198
  -42.4158783    0.08594522   0.60194175   0.83161633]]"
15,201108907010023,0764170101,11,105646.2,PNX,"[[0.58126169 0.17094017 0.05128205 0.03418803 0.00854701 0.
  0.         0.98594299 1.98012874 5.15755431 1.83443773 0.13941157
  0.33043478 1.03802744]]"
16,203018901015026,0301890101,28,85409.95,PNX,"[[0.54183072 0.28915663 0.04819277 0.01204819 0.         0.
  0.         1.26296293 0.94077411 1.35787691 5.97948074 0.14458603
  0.17283951 1.53885717]]"
17,206707501010013,0670750101,14,60341.64,PNX,"[[ 0.4461517   0.32727273  0.05454545  0.00909091  0.          0.
   0.          1.24676099  0.9605415   0.93367466 -5.73705864  0.18388616
   0.59259259  0.9784234 ]]"
18,206578201010036,0740960101,21,77549.26,PNX,"[[1.08983219e+00 7.04225352e-02 4.22535211e-02 2.81690141e-02
  1.40845070e-02 1.40845070e-02 0.00000000e+00 5.99646542e-01
  3.42313545e+00 1.49273246e+01 6.06773794e-01 2.27969095e-01
  2.02898551e-01 1.97740458e+00]]"
19,201091302010003,0721730301,3,51027.74,PNX,"[[0.22572583 0.27272727 0.03030303 0.         0.         0.
  0.         1.36372115 0.48217209 0.11137396 4.79523706 0.19723482
  0.35483871 1.49563728]]"
20,206025204010072,0602520201,68,94346.27,PNX,"[[9.88638699e-01 1.41304348e-01 4.34782609e-02 2.17391304e-02
  2.17391304e-02 1.08695652e-02 0.00000000e+00 9.37448313e-01
  2.92428503e+00 1.13759793e+01 2.14876413e+00 2.35836223e-01
  5.11111111e-01 8.67620561e-01]]"
21,201026412010002,0650510101,5,67622.0,PNX,"[[ 0.14531636  0.30487805  0.03658537  0.01219512  0.01219512  0.
   0.          1.19727309 -0.62104449  2.0925383  -4.25001717  0.19025017
   0.3125      1.5287544 ]]"
22,205503501010009,0841800201,6,113687.6,PNX,"[[ 5.19213617e-01  1.87500000e-01  6.25000000e-02  1.78571429e-02
   1.78571429e-02  0.00000000e+00  0.00000000e+00  8.51810688e-01
   2.04623682e+00  5.35562704e+00 -2.54190292e+01  2.12593704e-01
   4.00000000e-01  1.44799841e+00]]"
23,201026412010006,0650510101,29,67622.01,PNX,"[[ 3.99132192e-01  2.68292683e-01  3.65853659e-02  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00  1.33278091e+00
   4.39544953e-01 -4.04457071e-04 -7.12919235e-02  2.28311628e-01
   2.50000000e-01  1.80224258e+00]]"
24,206721903010103,0672190301,103,106995.1,PNX,"[[  0.81370831   0.19191919   0.04040404   0.04040404   0.
    0.           0.           0.89731318   1.78475167   3.97576467
  -16.0862236    0.19608766   0.5257732    1.04453559]]"
25,201026420010033,0650510401,54,58175.55,PNX,"[[  0.98024666   0.17977528   0.05617978   0.02247191   0.
    0.           0.           1.15323382   1.77925347   3.22297226
  -20.08065414   0.10798664   0.5862069    0.84009954]]"
26,206733101015141,0821800301,126,103586.6,PNX,"[[  0.98636782   0.20618557   0.07216495   0.           0.
    0.           0.           1.20138967   1.18249368   0.2756003
  -17.5006485    0.18418531   0.6          1.38025471]]"
27,205549203010026,0821240301,22,61985.02,PNX,"[[ 0.93120426  0.12765957  0.06382979  0.04255319  0.          0.
   0.          0.58453881  2.4974002   6.36549664 -9.74639225  0.35934526
   0.31111111  1.24922189]]"
28,208414819010044,0841481901,44,85222.79,PNX,"[[1.00976324e+00 1.47727273e-01 4.54545455e-02 3.40909091e-02
  1.13636364e-02 0.00000000e+00 0.00000000e+00 6.42211901e-01
  2.33332494e+00 5.93291623e+00 2.95620995e+01 2.29095578e-01
  6.04651163e-01 1.12513671e+00]]"
29,206709501015100,0780760501,17,60689.2,PNX,"[[ 1.18354893  0.14814815  0.05555556  0.01851852  0.          0.
   0.          0.86826302  1.96990788  3.71073385 -4.76584387  0.01721583
   0.86538462  0.28021245]]"
30,206743807010033,0674380701,33,53636.3,PNX,"[[ 0.68670356  0.34210526  0.02631579  0.          0.          0.
   0.          1.55164001  0.7019056  -0.7274291   0.57667208  0.09528485
   0.22222222  1.67027854]]"
31,206909001010040,0690900201,45,63169.34,PNX,"[[9.84436452e-01 2.13333333e-01 4.00000000e-02 2.66666667e-02
  1.33333333e-02 1.33333333e-02 0.00000000e+00 6.57773178e-01
  2.42569308e+00 7.63244659e+00 3.53005180e+01 2.05113575e-01
  4.52054795e-01 1.05397920e+00]]"
32,205549901010017,0760530201,16,81156.73,PNX,"[[  0.261592     0.37333333   0.05333333   0.           0.
    0.           0.           1.39557184   0.45544234  -0.32813118
  -16.42651558   0.27412951   0.15068493   2.22751105]]"
