,SRCID,OBSID,SRC_NUM,EP_ONTIME,INST,FEAT_VALS
0,203059301010019,0305930101,19,50583.65,PNX,"[[0.63250089 0.23076923 0.07692308 0.         0.         0.
  0.         1.19937814 1.1263888  1.13577221 0.70668399 0.22416356
  0.27272727 1.5825837 ]]"
1,206925501010057,0692550101,52,50150.38,PNS,"[[  0.71931177   0.27868852   0.06557377   0.           0.
    0.           0.           1.30157658   0.92297354   0.31671006
  -13.92486      0.3482646    0.72881356   0.540181  ]]"
2,206947303010009,0694730301,9,69592.66,PNS,"[[ 0.53269792  0.28571429  0.0952381   0.          0.          0.
   0.          1.31615226  1.01262545  0.18864162 -3.14724612  0.06355961
   0.63157895  0.52547213]]"
3,208273603010016,0827360301,16,59552.66,PNS,"[[ 0.252855    0.46153846  0.          0.          0.          0.
   0.          1.87279699  0.04145731 -1.22445004 -5.69042063  0.30646157
   0.          2.9143991 ]]"
4,207203906010024,0720390601,24,53620.63,PNS,"[[ 0.23400317  0.42857143  0.          0.          0.          0.
   0.          1.33377864  0.62011498 -0.66569551 -1.41109633  0.13668197
   0.2         1.78226677]]"
5,200669401010060,0501790101,29,107920.8,PNU,"[[ 0.36087075  0.42857143  0.03896104  0.          0.          0.
   0.          1.59791925  0.38244161 -0.52577694  1.09168971  0.19652726
   0.21333333  1.68229328]]"
6,207216201010064,0761920901,37,51596.98,PNX,"[[ 0.93265784  0.08333333  0.08333333  0.08333333  0.          0.
   0.          0.25800214  2.24638713  3.91800961 -1.84617603  0.03188974
   0.7         1.71543074]]"
7,201014404010015,0761921201,14,50383.95,PNX,"[[ 0.22817552  0.38461538  0.          0.          0.          0.
   0.          1.47370998  0.02108798 -1.11401247  2.03973889  0.18219754
   0.54545455  1.55894999]]"
8,207619207010008,0761920701,8,66509.2,PNS,"[[  0.23575105   0.24137931   0.03448276   0.           0.
    0.           0.           1.22852145   1.0358936    0.62933053
  -11.14519596   0.23408075   0.22222222   2.06947677]]"
9,208438903010109,0843890301,109,114094.9,PNS,"[[  0.19648387   0.30769231   0.04615385   0.           0.
    0.           0.           1.06646487   0.20989834   0.39050121
  -14.79910564   0.25552318   0.26984127   2.01153539]]"
10,207615501010043,0761550101,40,61252.01,PNX,"[[ 8.15685809e-01  3.07692308e-01  3.84615385e-02  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00  1.69155369e+00
   8.25498661e-01 -5.06222823e-01 -1.76049576e+01  1.47672128e-02
   8.75000000e-01  5.32357048e-01]]"
11,201509701010004,0743950601,5,59867.54,PNS,"[[ 0.25671157  0.26666667  0.06666667  0.          0.          0.
   0.          1.23799027 -0.46219644  0.0834365  -1.56886911  0.18441589
   0.15384615  2.56602491]]"
