,SRCID,OBSID,SRC_NUM,EP_ONTIME,INST,FEAT_VALS
0,203059301010019,0305930101,19,50583.65,PNX,"[0.23076923 0.         0.         0.         1.19937814 1.1263888
 1.13577221 0.70668399]"
1,206925501010057,0692550101,52,50150.38,PNS,"[  0.27868852   0.           0.           0.           1.30157658
   0.92297354   0.31671006 -13.92486   ]"
2,206947303010009,0694730301,9,69592.66,PNS,"[ 0.28571429  0.          0.          0.          1.31615226  1.01262545
  0.18864162 -3.14724612]"
3,208273603010016,0827360301,16,59552.66,PNS,"[ 0.46153846  0.          0.          0.          1.87279699  0.04145731
 -1.22445004 -5.69042063]"
4,207203906010024,0720390601,24,53620.63,PNS,"[ 0.42857143  0.          0.          0.          1.33377864  0.62011498
 -0.66569551 -1.41109633]"
5,200669401010060,0501790101,29,107920.8,PNU,"[ 0.42857143  0.          0.          0.          1.59791925  0.38244161
 -0.52577694  1.09168971]"
6,207216201010064,0761920901,37,51596.98,PNX,"[ 0.08333333  0.08333333  0.          0.          0.25800214  2.24638713
  3.91800961 -1.84617603]"
7,201014404010015,0761921201,14,50383.95,PNX,"[ 0.38461538  0.          0.          0.          1.47370998  0.02108798
 -1.11401247  2.03973889]"
8,207619207010008,0761920701,8,66509.2,PNS,"[  0.24137931   0.           0.           0.           1.22852145
   1.0358936    0.62933053 -11.14519596]"
9,208438903010109,0843890301,109,114094.9,PNS,"[  0.30769231   0.           0.           0.           1.06646487
   0.20989834   0.39050121 -14.79910564]"
10,207615501010043,0761550101,40,61252.01,PNX,"[  0.30769231   0.           0.           0.           1.69155369
   0.82549866  -0.50622282 -17.60495758]"
11,201509701010004,0743950601,5,59867.54,PNS,"[ 0.26666667  0.          0.          0.          1.23799027 -0.46219644
  0.0834365  -1.56886911]"
12,207279601010047,0727960101,47,110185.9,PNS,"[ 2.80898876e-01  1.12359551e-02  1.12359551e-02  0.00000000e+00
  1.09572333e+00  1.32406815e+00  4.81953341e+00 -1.30610657e+01]"
13,207233301010007,0723330101,7,53239.1,PNS,"[ 0.26666667  0.          0.          0.          1.26773221  0.62651918
 -0.38436021  8.83480644]"
14,205026901015019,0551280201,17,55060.5,PNX,"[ 0.4         0.          0.          0.          1.69603611  0.17727812
 -1.32228171 -2.37528992]"
15,206562018010028,0674380701,18,53636.3,PNX,"[ 0.5         0.          0.          0.          1.49937057  0.34344844
 -1.23652679 -5.29501677]"
16,200813408010091,0803910401,82,85115.38,PNX,"[  0.10526316   0.03508772   0.           0.           0.62448601
   2.49747174   6.43919855 -13.04774475]"
17,208039104010096,0803910401,96,85089.38,PNS,"[  0.15151515   0.03030303   0.           0.           0.53752403
   1.922271     2.70069273 -18.98223305]"
18,208414809010015,0841480901,15,65151.89,PNS,"[  0.38235294   0.           0.           0.           1.45808954
   0.16944051  -0.4863818  -15.94830132]"
19,208218001010049,0821800301,49,80526.46,PNS,"[ 0.26315789  0.          0.          0.          1.293499    1.09545633
 -0.02502933  7.16868973]"
20,208039103010068,0803910301,68,63045.22,PNX,"[ 0.26470588  0.          0.          0.          1.78286789  0.90695623
 -0.76007574 16.5466671 ]"
21,202102702010009,0821800201,25,113501.9,PNX,"[0.14473684 0.02631579 0.01315789 0.         0.64316651 2.52754384
 7.4824232  4.05362797]"
22,208039103010069,0803910301,69,63039.32,PNS,"[ 0.19354839  0.          0.          0.          1.38618686  1.04912878
 -0.09088711  4.74296618]"
23,208246101010098,0824610301,72,64914.63,PNU,"[  0.25         0.           0.           0.           1.21967382
   1.17487075   0.36716636 -12.98571491]"
24,208039103010027,0803910301,27,75332.39,PNS,"[ 0.2295082   0.          0.          0.          1.23537376  1.14948334
 -0.00998984  3.20341277]"
25,200517601010033,0744440401,16,67883.98,PNX,"[  0.1375       0.           0.           0.           0.93409215
   1.52169008   1.13439677 -32.01256943]"
26,205560301010021,0651610101,34,84332.83,PNS,"[ 0.09210526  0.02631579  0.01315789  0.          0.61958952  3.00840214
  9.89358935 -4.17374611]"
27,203020302015021,0840580401,51,105398.8,PNS,"[ 1.89189189e-01  1.35135135e-02  0.00000000e+00  0.00000000e+00
  8.74967741e-01  1.49406950e+00  1.68067940e+00 -1.75111599e+01]"
28,208414814010030,0841481401,30,71816.62,PNX,"[ 0.33333333  0.          0.          0.          1.1105021   0.74531797
 -0.69801157  4.10514641]"
29,208414814010030,0841481401,30,71816.62,PNU,"[  0.33333333   0.           0.           0.           0.35063668
   0.98760726   0.45893505 -10.6556921 ]"
30,201108901010012,0792180301,3,112801.7,PNS,"[0.38095238 0.01190476 0.         0.         1.44783648 0.58083747
 1.0860055  3.29481006]"
31,201108901010012,0792180301,3,112801.7,PNX,"[0.35555556 0.01111111 0.         0.         1.45147763 0.65488521
 1.09448337 3.3846209 ]"
32,201128402010021,0830191501,47,61585.23,PNS,"[ 0.42857143  0.          0.          0.          1.67844628 -0.38788925
 -0.8483725   3.86133909]"
33,202124808010010,0830191501,20,59750.82,PNS,"[ 0.21428571  0.          0.          0.          0.84142845  0.18987002
  0.70670008 -7.09283304]"
34,208301914010027,0830191501,10,59750.82,PNX,"[ 0.28571429  0.          0.          0.          1.23608779  0.35546581
 -0.35552238  3.48711586]"
35,201128402010044,0830191501,32,59754.5,PNS,"[ 0.42857143  0.          0.          0.          1.76609097 -0.16846203
 -1.25801998 -6.08339787]"
36,208244509010015,0852030101,44,68881.8,PNX,"[ 0.375       0.          0.          0.          1.46751136  0.60165406
 -0.27618092  3.74017191]"
37,201042601010049,0824450501,140,66812.61,PNX,"[  0.29268293   0.02439024   0.           0.           0.71095956
   1.60458353   2.2506701  -14.2330389 ]"
