,SRCID,OBSID,SRC_NUM,EP_ONTIME,INST,PN_RATE,CONF_DT50,CONF_DT250,CONF_DT1000
0,200813408010091,0803910401,82,85115.38,PNX,0.010054772,0.9681082,1.0,1.0
1,208039104010096,0803910401,96,85089.38,PNS,0.010779678,0.95300126,0.9999969,0.9999995
2,202102702010009,0821800201,25,113501.9,PNX,0.010736715,0.9043973,1.0,1.0
3,205560301010021,0651610101,34,84332.83,PNS,0.014563374,0.9106328,1.0,1.0
4,201042601010142,0824450501,136,77993.75,PNS,0.01568474,0.9077587,0.99963903,1.0
5,201042601010139,0824450501,106,77993.75,PNS,0.013633773,0.95065403,1.0,1.0
6,207843302010074,0784330201,74,82908.01,PNS,0.010134054,0.9197053,1.0,0.9998765
7,207611001010107,0790380501,96,77809.05,PNX,0.016267372,0.9326922,0.99999976,0.9950405
8,207623601010015,0762360101,15,63821.2,PNS,0.015650265,0.9750192,1.0,1.0
9,207640101010106,0764010101,120,61284.71,PNS,0.014003937,0.90433013,0.96525407,0.98331773
10,203004803010062,0761500201,49,56048.02,PNX,0.011971195,0.9320756,1.0,0.9992409
11,201080604010036,0555780401,30,86434.4,PNS,0.011427664,0.92044055,1.0,1.0
12,201092707010049,0763120201,56,68949.05,PNX,0.014084707,0.9518999,1.0,1.0
13,201080604010081,0604960301,52,99400.6,PNX,0.01021364,0.9713733,1.0,1.0
14,205032301010068,0761620201,61,54129.4,PNX,0.016787529,0.93452096,0.9999999,0.97288203
15,201129706010013,0202670501,35,73494.28,PNX,0.018921185,0.9440693,1.0,1.0
16,201010401010126,0741280201,32,82772.2,PNX,0.012942201,0.9093723,1.0,1.0
17,207823301010070,0782330101,60,52087.16,PNX,0.014733874,0.9724363,1.0,0.99767464
18,206734901010032,0673490101,32,54237.72,PNX,0.014731429,0.97625107,1.0,1.0
19,207413002010019,0741300201,19,103461.8,PNX,0.010698848,0.9381591,1.0,1.0
20,206049603010063,0604960301,63,99392.78,PNS,0.013353032,0.982071,1.0,1.0
21,207816902010007,0781690201,7,57190.76,PNX,0.014765574,0.91541815,1.0,0.9994411
22,208220501010005,0822050101,5,51240.79,PNS,0.019317804,0.9757479,1.0,0.97146463
23,202038101010034,0300270201,63,75683.38,PNS,0.014443565,0.9010386,1.0,1.0
24,208039104010022,0803910401,22,85094.58,PNS,0.010772399,0.9336076,0.99966586,1.0
25,201109504010033,0841481401,17,83118.15,PNU,0.012089085,0.9254368,1.0,1.0
26,201111202010042,0305540701,46,58783.4,PNX,0.010044525,0.95923775,1.0,1.0
27,201489601010024,0148960101,25,55746.7,PNS,0.014952536,0.9592243,1.0,0.9999682
28,202038101010055,0300270201,51,76070.77,PNS,0.015203348,0.9189361,0.9953993,0.98860127
29,201125506010030,0761630201,11,94852.3,PNS,0.028431345,0.92115617,0.99998116,1.0
30,201489601010046,0148960101,47,55770.04,PNS,0.011083727,0.97395635,1.0,1.0
31,207216201010128,0761920901,34,51568.38,PNX,0.011769051,0.97730756,0.99900776,1.0
32,201129705010102,0202670601,75,74100.0,PNS,0.014468525,0.9259052,1.0,0.9999485
33,201080604010036,0604960301,42,99410.99,PNS,0.018298127,0.9783804,1.0,1.0
34,201481701010028,0148170101,28,67711.02,PNS,0.013598206,0.96668875,1.0,1.0
35,200823401010017,0203560201,14,69324.66,PNX,0.011744609,0.951413,1.0,1.0
36,207446001010063,0744600101,57,88632.0,PNX,0.011013236,0.9517793,1.0,0.9948329
37,201080605010097,0604960301,86,99392.78,PNS,0.012736323,0.9692637,1.0,1.0
38,201129721010058,0202670501,69,73694.48,PNU,0.01641818,0.93311554,1.0,1.0
39,201485605010030,0148560501,28,63349.92,PNX,0.0103951655,0.9342168,0.998904,0.9025571
40,207444002010019,0744400201,17,58882.17,PNS,0.011658092,0.9389673,0.99999964,0.9999324
41,204025610010053,0763120201,53,68933.41,PNS,0.013117461,0.9384093,0.999741,0.99519795
42,201128002010075,0791010301,22,63973.0,PNS,0.011801815,0.9660899,1.0,0.99312466
43,208418002010005,0841800201,5,113679.8,PNX,0.026751129,0.94678766,1.0,1.0
44,208414819010012,0841481901,12,85233.2,PNX,0.010843434,0.9092043,1.0,1.0
45,206709501015100,0780760501,17,60689.2,PNX,0.020639865,0.9057417,1.0,0.996436
46,200147406010007,0401090101,6,61208.82,PNX,0.01842137,0.93613714,1.0,1.0
47,208042402010005,0804240201,5,53235.0,PNS,0.010239023,0.93660027,1.0,1.0
48,207611001010112,0790380501,142,109909.5,PNX,0.013660331,0.92144233,1.0,0.9999999
49,201084602010018,0723801601,34,79643.17,PNS,0.011948313,0.9308435,0.99945444,0.99999976
50,202055903010099,0505140501,67,67678.0,PNX,0.01253128,0.91023666,1.0,1.0
51,202038101010061,0300270201,75,76070.74,PNX,0.017503008,0.9010386,1.0,1.0
52,207216201010036,0761920901,30,51568.38,PNX,0.011740961,0.98789644,0.978118,0.9870688
53,201481701010017,0148170101,15,67711.02,PNS,0.0148565965,0.9377761,1.0,1.0
54,201080604010074,0604960301,43,79261.06,PNX,0.0132268295,0.9455366,1.0,1.0
55,207615502010064,0761550201,72,80739.44,PNS,0.010271339,0.9231092,1.0,1.0
56,203002702015047,0300270201,48,75903.66,PNS,0.018488497,0.9141598,1.0,1.0
57,201092707015053,0763120201,54,68938.62,PNS,0.014280222,0.9343255,1.0,0.93381387
58,201010401010032,0831790601,6,81793.4,PNS,0.012579863,0.926233,1.0,1.0
59,201128002010050,0791010101,13,120517.8,PNS,0.013544741,0.96271044,1.0,1.0
60,207610701010019,0761070101,19,90675.0,PNS,0.016400635,0.9302541,0.9999993,0.99987674
61,208229601010009,0822960101,9,76427.6,PNS,0.016491575,0.9104927,1.0,0.9971035
62,200709401010015,0782650101,13,92110.79,PNU,0.019294247,0.9444492,1.0,0.99996877
63,200709401010015,0782650101,13,92110.79,PNX,0.019312022,0.93348634,1.0,0.9996948
64,208039104010091,0803910401,91,85089.37,PNS,0.010937779,0.9336076,0.99999714,1.0
65,208039104010043,0803910401,43,85089.39,PNX,0.011559475,0.9587205,1.0,1.0
66,206931904010007,0693190401,7,96881.2,PNS,0.018857433,0.9198836,1.0,0.99999654
67,201084602010048,0723801601,36,79637.76,PNS,0.017279152,0.93334633,0.99164903,0.99893516
68,201080604010046,0604960301,55,99400.6,PNX,0.013852626,0.983648,1.0,1.0
69,203002702010075,0300270201,79,76070.78,PNX,0.012121333,0.91830856,1.0,1.0
70,201080607010125,0604960301,96,99410.99,PNS,0.011563275,0.968597,1.0,1.0
71,201080605010113,0604960301,112,99408.38,PNS,0.01281836,0.97391075,1.0,1.0
72,204025612010017,0763120201,45,57141.12,PNX,0.011124714,0.94468445,1.0,1.0
73,201122801010025,0780760501,32,60689.2,PNS,0.012702294,0.95759827,1.0,0.9712989
74,201080604015035,0604960301,66,99382.38,PNS,0.011772595,0.9851141,1.0,1.0
75,207816902010019,0781690201,19,57253.15,PNX,0.01008961,0.95749754,1.0,0.9999976
76,201108902010054,0554710801,28,62601.15,PNS,0.010335991,0.9650477,0.99999857,0.9905828
77,202038101015033,0300270201,44,76070.74,PNS,0.020394627,0.9498765,0.9999999,0.9985954
78,200813408010014,0803910401,86,85115.39,PNS,0.010593338,0.9287473,1.0,1.0
79,200813408010069,0803910401,74,85089.37,PNX,0.011620899,0.9644558,1.0,1.0
80,201109504010025,0841481401,42,83099.95,PNU,0.010750648,0.9562251,1.0,1.0
81,207903805010160,0790380501,160,109917.6,PNX,0.013564424,0.9702711,0.9999988,0.9999006
82,203040501010020,0304050101,23,50102.76,PNS,0.015054658,0.90695184,0.93201435,0.9992607
83,207216201010022,0761920901,28,51596.98,PNX,0.012755624,0.9770652,1.0,1.0
84,202001301010089,0761630301,95,90334.4,PNX,0.014064705,0.9477182,0.9784581,0.99989474
85,201125506010015,0761630201,32,94836.68,PNS,0.0116370255,0.9326922,1.0,1.0
86,201485605010072,0148560501,67,63357.71,PNU,0.01035953,0.93028545,1.0,0.9979983
87,203002702010074,0300270201,76,75903.66,PNS,0.017387424,0.9257882,1.0,0.99996245
88,203002702010079,0300270201,91,76070.77,PNS,0.013895187,0.9400372,1.0,0.99931157
89,202001301015181,0761630301,113,90347.4,PNS,0.011271882,0.9002228,0.99996436,0.99930406
90,201489601010025,0148960101,22,55796.05,PNS,0.017383074,0.9592243,1.0,1.0
91,201080604010046,0555780401,49,86434.4,PNX,0.011050891,0.93308485,1.0,1.0
92,203068701010065,0741280201,44,86241.99,PNX,0.011152317,0.9441711,1.0,1.0
93,201125506010027,0761630301,103,84087.0,PNS,0.011089287,0.9292752,0.9998227,0.9957241
94,207444503010047,0744450301,47,94746.4,PNX,0.011935719,0.93511623,1.0,0.9999964
95,207444503010007,0744450301,7,94784.2,PNX,0.01631412,0.9277231,1.0,0.99993837
96,207223602010002,0762220101,4,100500.4,PNS,0.01734598,0.94705737,1.0,1.0
97,203025001010035,0302500101,35,75941.81,PNX,0.010036336,0.9653089,1.0,1.0
98,207812103010014,0781210301,14,66188.26,PNX,0.011307086,0.9430096,1.0,1.0
99,207619208010034,0761920801,34,64550.8,PNX,0.010099836,0.9059146,1.0,1.0
100,200813408010058,0803910401,79,85089.37,PNS,0.011293094,0.97222185,1.0,1.0
101,208627305010003,0862730501,3,65024.58,PNU,0.045278225,0.93014824,1.0,1.0
102,207903806010174,0790380601,174,116691.4,PNX,0.0109918825,0.9466001,1.0,0.9893839
103,208043010010089,0804301001,89,77617.77,PNS,0.011626864,0.90274626,0.9999267,0.99461186
104,202039001010015,0203900101,16,88889.55,PNS,0.014075356,0.90313894,1.0,1.0
105,201080604010015,0604960301,22,99400.6,PNX,0.016840737,0.9791434,1.0,1.0
106,201125506010061,0761630301,50,90376.0,PNX,0.01739693,0.9403841,1.0,0.9993011
107,200773401015192,0555630401,136,103108.6,PNX,0.010857503,0.9090057,1.0,1.0
108,203004803010019,0761500201,52,56046.67,PNS,0.011189817,0.95359564,1.0,0.9976453
109,206909001010003,0690900101,3,64989.6,PNX,0.020899214,0.9127327,1.0,1.0
110,205101817010005,0510181701,5,51254.79,PNU,0.02953896,0.9349118,1.0,0.90882576
111,205509314010041,0694670101,14,84486.96,PNS,0.01315226,0.92233175,1.0,1.0
112,207277801010019,0790380901,18,105359.7,PNS,0.015387205,0.92134213,1.0,1.0
113,207446401010015,0744640101,15,91357.12,PNX,0.011382262,0.9581319,1.0,1.0
114,201080605010079,0555780401,46,86410.39,PNS,0.011074708,0.9430996,1.0,0.9957463
115,200930001010063,0093000101,67,52603.19,PNX,0.012539656,0.93373823,1.0,1.0
116,201080606010043,0604960301,77,99392.78,PNX,0.012040663,0.9692637,1.0,1.0
117,200124403015018,0764370201,28,63092.77,PNX,0.010389002,0.9123968,1.0,0.9999399
118,207616303010090,0761630301,122,90347.4,PNX,0.0110757835,0.9002228,0.9980496,0.99839455
119,207444503010041,0744450301,49,94746.4,PNS,0.013423677,0.9166888,1.0,0.9999974
120,205521703010027,0552170301,26,67662.4,PNS,0.010195831,0.95395195,1.0,0.9960245
121,200563401010018,0502120101,20,73974.17,PNS,0.014733428,0.92493874,1.0,1.0
122,208106001010069,0810600101,69,60830.7,PNX,0.010113527,0.90332204,1.0,0.91770947
