,SRCID,OBSID,SRC_NUM,EP_ONTIME,INST,PN_RATE,CONF_DT50,CONF_DT250,CONF_DT1000
0,208708502010029,0870850201,29,61825.39,PNX,0.01059688,0.9999423,0.99995196,0.99998057
1,204010901010044,0401090101,44,61185.39,PNX,0.006519409,0.99999,0.99995255,0.9998878
2,208106001010052,0810600101,52,55983.8,PNX,0.00649807,0.9999554,0.99997187,0.999281
3,201125702010063,0672130701,95,70020.64,PNX,0.0057684304,0.99999905,0.9999999,0.9999999
4,208448601010042,0844860101,42,84780.95,PNX,0.006587069,0.99997175,0.99997604,0.9999387
5,206578201010036,0740960101,21,77549.26,PNX,0.0054171416,0.9999975,0.9999988,1.0
6,206025204010072,0602520201,68,94346.27,PNX,0.008328014,1.0,1.0,0.9999713
7,205549203010026,0821240301,22,61985.02,PNX,0.0065242113,0.9999707,0.99999976,0.9999474
8,206909001010040,0690900201,45,63169.34,PNX,0.0052800914,0.99999964,0.99999285,0.99975365
9,201080604010040,0555780401,50,59335.65,PNX,0.006029172,0.9999881,0.9999969,0.99948174
10,203049401010074,0781350101,112,123006.9,PNX,0.0050410647,0.99993,0.9999764,0.99979967
11,207446401010100,0744640101,76,105812.2,PNX,0.006139221,1.0,0.9999988,0.99995375
12,208421101010005,0842110101,5,60161.38,PNX,0.04808765,0.9999877,0.9999987,0.99991775
13,204051002010026,0670810101,66,106281.7,PNX,0.0058371546,0.99996996,0.99999857,0.9999286
14,208830401010083,0883040101,83,66763.99,PNX,0.0074006957,0.9999981,0.99999964,0.99992573
15,208830401010082,0883040101,82,66763.99,PNX,0.006711616,0.9999969,0.9999871,0.99991584
16,207229001010057,0864110101,136,116105.6,PNX,0.005136303,0.9999995,0.9999999,0.99999833
17,208637801010051,0863780201,49,56209.38,PNX,0.009797269,0.99998856,0.9999851,0.9998305
18,208046801010084,0804680101,84,94323.54,PNX,0.007312723,0.99999845,0.9999999,0.99999976
19,203060601010087,0306060101,87,81551.57,PNX,0.0068628173,0.9999895,0.9999902,0.9999999
20,202102702010009,0821800201,25,113501.9,PNX,0.010007156,0.99976987,0.99992704,0.99981457
21,208251401010040,0825140101,40,104142.1,PNX,0.007169244,0.99990773,0.99994755,0.99930656
22,208808101010170,0880810201,134,93812.15,PNX,0.0060223527,0.99999416,0.9999317,0.9995608
23,203002405015065,0694170101,57,106945.9,PNX,0.0075250077,1.0,1.0,1.0
24,201112401010050,0111240101,50,69176.34,PNX,0.008129642,0.9998435,0.9999857,0.9998381
25,208627305010091,0862730501,91,57642.25,PNX,0.005342439,0.9999989,0.99999917,0.9998227
26,208405802010113,0840580201,113,89004.07,PNX,0.00569187,0.9999807,0.99999964,0.9997259
27,208020805010026,0802080501,26,56567.48,PNX,0.005543126,0.9999887,0.99999654,0.99997985
28,206569901010030,0790380901,72,105350.4,PNX,0.00513998,0.99995244,0.9999994,0.9996113
29,208709103010146,0870910301,146,79849.91,PNX,0.005789076,0.9999764,0.9999938,0.9994122
30,208304501010034,0830450101,34,115245.6,PNX,0.006300778,0.9998977,0.9999927,0.99999714
31,208711904010032,0871190401,32,113959.9,PNX,0.005457664,0.99989367,0.99998105,0.9992642
32,207617305010067,0761730501,69,57791.18,PNX,0.0052394345,0.99999905,0.99999964,0.9999902
33,207446401010095,0744640101,88,105765.4,PNX,0.0054943943,1.0,1.0,0.9999782
34,206719301010088,0671930101,88,91763.27,PNX,0.0056801043,0.99999034,0.9999981,0.99960345
35,207623601010015,0762360101,15,63821.2,PNX,0.01410325,0.9999863,0.99996555,0.9999989
36,201121701010031,0207090101,28,78464.44,PNX,0.0060996828,0.99999154,0.99999106,0.9995184
37,201125702010010,0672130601,31,68565.41,PNX,0.015602351,0.9997185,0.99998605,0.99999785
