,SRCID,OBSID,SRC_NUM,EP_ONTIME,INST,FEAT_VALS
0,203059301010019,0305930101,19,50583.65,PNX,"[[ 0.93275201  0.29310345  0.05172414  0.03448276  0.          0.
   0.          0.8901803   1.66465796  3.00510699 -2.35267544  0.16550171
   0.32142857  1.29959669]]"
1,206925501010057,0692550101,52,50150.38,PNS,"[[ 9.23344254e-01  3.38775510e-01  4.89795918e-02  1.63265306e-02
   0.00000000e+00  0.00000000e+00  0.00000000e+00  1.29916038e+00
   1.28750541e+00  1.83035384e+00 -3.40429688e+01  2.59875596e-01
   5.88477366e-01  8.97344300e-01]]"
2,206947303010009,0694730301,9,69592.66,PNS,"[[ 0.6564039   0.28089888  0.07865169  0.01123596  0.          0.
   0.          1.25621999  1.07740354  0.89436105 -7.89411545  0.06138121
   0.57471264  0.99814324]]"
3,208273603010016,0827360301,16,59552.66,PNS,"[[ 0.61239552  0.29090909  0.01818182  0.          0.          0.
   0.          1.43905435  0.47485485 -0.24389011  4.28769493  0.20099978
   0.18867925  2.17866305]]"
4,207203906010024,0720390601,24,53620.63,PNS,"[[ 0.54966402  0.28571429  0.10714286  0.          0.          0.
   0.          1.07853985  1.03334975  0.47718378 -4.67558527  0.36012506
   0.38461538  1.53060137]]"
5,200669401010060,0501790101,29,107920.8,PNU,"[[0.67971361 0.22539683 0.05079365 0.0031746  0.         0.
  0.         1.21743889 0.76682059 0.58859118 0.51742935 0.12036898
  0.29392971 1.78705244]]"
6,207216201010064,0761920901,37,51596.98,PNX,"[[  1.22153616   0.12280702   0.07017544   0.01754386   0.
    0.           0.           1.09414569   1.90121679   3.36846138
  -13.24509811   0.23356307   0.50909091   0.93097679]]"
7,201014404010015,0761921201,14,50383.95,PNX,"[[ 0.55738479  0.46428571  0.01785714  0.          0.          0.
   0.          1.26503898  0.14945115 -0.98249024 -0.63555574  0.21201502
   0.22222222  2.47735998]]"
8,207619207010008,0761920701,8,66509.2,PNS,"[[ 0.4773027   0.30252101  0.05882353  0.          0.          0.
   0.          1.32431377  0.38313458 -0.28655723  0.67912143  0.14937977
   0.23931624  1.89333376]]"
9,208438903010109,0843890301,109,114094.9,PNS,"[[ 0.43260267  0.348659    0.04980843  0.00383142  0.          0.
   0.          1.33014304  0.32067472 -0.28854692 -1.80848336  0.12973776
   0.23552124  2.16686696]]"
10,207615501010043,0761550101,40,61252.01,PNX,"[[ 1.02926266e+00  1.57024793e-01  6.61157025e-02  8.26446281e-03
   0.00000000e+00  0.00000000e+00  0.00000000e+00  1.45173847e+00
   1.14765445e+00  5.85995736e-01 -4.53404274e+01  4.80667613e-02
   5.71428571e-01  1.00102962e+00]]"
11,201509701010004,0743950601,5,59867.54,PNS,"[[ 0.48854238  0.33333333  0.05        0.          0.          0.
   0.          1.32926817 -0.05256972 -0.65266116  9.87486649  0.18397768
   0.27586207  1.64335826]]"
12,207279601010047,0727960101,47,110185.9,PNS,"[[ 6.02899134e-01  3.91184573e-01  5.23415978e-02  5.50964187e-03
   2.75482094e-03  0.00000000e+00  0.00000000e+00  1.08621829e+00
   6.90924211e-01  6.57224478e-01 -1.64695549e+01  7.77162984e-02
   2.82548476e-01  1.98443057e+00]]"
