,SRCID,OBSID,SRC_NUM,EP_ONTIME,INST,PN_RATE,CONF_DT50,CONF_DT250,CONF_DT1000
0,200813408010091,0803910401,82,85115.38,PNX,0.010054772,1.0,0.9999988,1.0
1,208039104010096,0803910401,96,85089.38,PNS,0.010779678,0.9999999,0.99999666,1.0
2,200517601010033,0744440401,16,67883.98,PNX,0.019761566,0.9999988,0.99998915,1.0
3,205560301010021,0651610101,34,84332.83,PNS,0.014563374,0.99999964,0.999992,1.0
4,203020302015021,0840580401,51,105398.8,PNS,0.012476753,0.99999976,0.9999969,1.0
5,208414814010030,0841481401,30,71816.62,PNX,0.014696158,0.9999999,0.9999409,1.0
6,201042601010049,0824450501,140,66812.61,PNX,0.011548088,1.0,0.99999535,1.0
7,201042601010142,0824450501,136,77993.75,PNS,0.01568474,0.9999993,0.9999478,1.0
8,201042601010139,0824450501,106,77993.75,PNS,0.013633773,1.0,0.99999964,1.0
9,207843302010042,0784330201,42,82931.41,PNS,0.010777671,0.99999964,0.9999976,1.0
10,207843302010074,0784330201,74,82908.01,PNS,0.010134054,0.9999994,0.99999535,1.0
11,206569901015008,0790380501,32,77654.91,PNX,0.020572495,0.99999774,0.9999143,1.0
12,207611001010127,0790380601,104,96260.79,PNS,0.011500995,1.0,0.9999994,1.0
13,207611001010107,0790380501,96,77809.05,PNX,0.016267372,0.9999999,0.9999583,1.0
14,207277801010045,0790380601,68,84651.17,PNS,0.013433092,0.9999999,0.9999808,1.0
15,201129701010023,0784860101,31,85763.48,PNS,0.010591921,1.0,0.9999931,1.0
16,208003801010023,0800380101,23,76532.73,PNU,0.01303233,0.9999993,0.99995184,1.0
17,201473301010073,0147330101,78,58354.49,PNX,0.012074954,1.0,0.9999783,1.0
18,203004803010062,0761500201,49,56048.02,PNX,0.011971195,1.0,0.9999671,1.0
19,201108902010033,0554710801,22,62601.15,PNS,0.010952051,0.9999962,0.99993956,1.0
20,208317907010081,0831790701,81,102428.7,PNS,0.012044941,0.9999995,0.999998,1.0
21,201485605010014,0148560501,14,63349.92,PNU,0.018670259,0.9999987,0.9999243,1.0
22,203024201010016,0302420101,16,79787.31,PNS,0.011342128,0.9999938,0.99996173,1.0
23,200813408010015,0803910401,40,85115.39,PNS,0.014430029,0.99999905,0.9999838,1.0
