Features Used,Validation Accuracy,Sim Test Accuracy,Real Test Accuracy,Real Test Completeness,Real Test Purity,F1 Score,Metric Value
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)",0.9998888969421387,0.9998999834060669,0.953125,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.8695652173913043
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12)",0.999666690826416,0.9997000098228455,0.96875,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13)",0.9999444484710693,1.0,0.9375,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.8461538461538461
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12)",0.9999444484710693,1.0,0.96875,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13)",1.0,1.0,0.953125,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.8695652173913043
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13)",0.9999444484710693,1.0,0.9375,0.75,0.9,0.8181818181818182,0.8181818181818182
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12)",0.7523333430290222,0.7501000165939331,0.890625,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.7586206896551724
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13)",1.0,1.0,0.921875,0.8333333333333334,0.7692307692307693,0.8,0.8
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 13)",1.0,1.0,0.78125,0.9166666666666666,0.4583333333333333,0.611111111111111,0.611111111111111
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13)",1.0,1.0,0.96875,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
"(0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12)",0.4975000023841858,0.5,0.8125,0.0,0,0,0
"(0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 13)",0.9999444484710693,1.0,0.921875,0.6666666666666666,0.8888888888888888,0.761904761904762,0.761904761904762
"(0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 13)",0.9999444484710693,1.0,0.9375,0.75,0.9,0.8181818181818182,0.8181818181818182
"(0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 12, 13)",1.0,1.0,0.875,0.9166666666666666,0.6111111111111112,0.7333333333333334,0.7333333333333334
