OBSID,Real Label,Pred Label,Probabilities
0891800601,0,1,"[1.0743470966190216e-06, 0.999998927116394]"
0200670101,0,1,"[7.6140662713442e-05, 0.999923825263977]"
0556090101,0,1,"[0.00010267337347613648, 0.9998973608016968]"
0401360201,0,1,"[0.0009603789658285677, 0.9990395903587341]"
0551450101,0,1,"[0.0033261324279010296, 0.9966738224029541]"
0200670301,0,1,"[0.0017324413638561964, 0.9982675313949585]"
0893810501,1,1,"[9.073151545635483e-07, 0.9999990463256836]"
0864330401,0,0,"[0.56025630235672, 0.43974369764328003]"
0152170501,0,1,"[0.0493982695043087, 0.9506017565727234]"
0870830301,0,1,"[0.0008724743966013193, 0.9991275668144226]"
0861910301,1,1,"[3.220163853256963e-05, 0.9999678134918213]"
0200670401,0,1,"[0.0007235504454001784, 0.9992764592170715]"
0603260201,0,1,"[1.0133063138573206e-10, 1.0]"
0842340201,0,1,"[0.01099375355988741, 0.9890062808990479]"
0851180501,1,1,"[1.8119561673302087e-06, 0.9999982118606567]"
0200920101,0,1,"[7.190705986204193e-08, 0.9999998807907104]"
0870830101,0,1,"[0.000228523465921171, 0.9997715353965759]"
0691570101,0,1,"[0.0009266955312341452, 0.9990732669830322]"
0411980101,0,1,"[0.007903169840574265, 0.9920967817306519]"
0112550601,0,1,"[5.357345003176306e-07, 0.9999995231628418]"
0794581201,0,1,"[0.0004942856030538678, 0.9995057582855225]"
0872390101,1,1,"[9.650668744143331e-07, 0.9999990463256836]"
0864330101,1,1,"[0.08876201510429382, 0.9112379550933838]"
0790650101,0,0,"[0.8459604978561401, 0.15403950214385986]"
0500730101,0,1,"[0.0007001944468356669, 0.9992997646331787]"
0803671001,0,1,"[3.518256562529132e-05, 0.9999648332595825]"
0761630301,1,1,"[4.718574928119779e-06, 0.999995231628418]"
0093641701,0,1,"[4.0241775423055515e-07, 0.9999996423721313]"
0111790101,0,0,"[0.8388375043869019, 0.16116249561309814]"
0311190101,0,0,"[0.8001924753189087, 0.19980759918689728]"
0510011501,0,1,"[2.3797235143154408e-17, 1.0]"
0200670201,0,1,"[0.00013849764945916831, 0.999861478805542]"
0725200301,0,0,"[0.8177223205566406, 0.1822775900363922]"
0851180401,1,1,"[0.00012589462858159095, 0.9998741149902344]"
0870830201,0,1,"[0.0005727469688281417, 0.999427318572998]"
0306630101,0,1,"[0.0005539556732401252, 0.9994460940361023]"
0862760201,0,1,"[0.00011375917529221624, 0.9998862743377686]"
0551870401,0,1,"[2.372812332396279e-06, 0.999997615814209]"
0870830401,0,1,"[0.0009565663640387356, 0.9990434050559998]"
0761630201,0,1,"[1.7395027498423588e-06, 0.9999982118606567]"
0401360301,0,1,"[0.0005412588943727314, 0.9994587302207947]"
0823680101,1,1,"[0.0001641347334953025, 0.9998358488082886]"
0304190101,0,1,"[4.546987210308964e-16, 1.0]"
0306630201,0,1,"[0.0002545286261010915, 0.9997454285621643]"
0864560101,1,1,"[7.85962947702501e-06, 0.9999921321868896]"
0401360101,0,1,"[0.0015590852126479149, 0.9984409213066101]"
0861910201,1,1,"[8.263628359372888e-08, 0.9999998807907104]"
0784510301,0,1,"[1.4350815035868436e-05, 0.9999856948852539]"
0657820101,0,0,"[0.7464221119880676, 0.2535778880119324]"
0112551701,0,0,"[0.7139664888381958, 0.2860334515571594]"
0411980401,1,1,"[0.09488452970981598, 0.9051154255867004]"
0803671101,0,1,"[6.269997538765892e-05, 0.9999372959136963]"
0803670501,0,1,"[1.196851098939078e-05, 0.9999880790710449]"
0500730201,0,1,"[0.0017387765692546964, 0.9982612729072571]"
0651790201,0,1,"[5.1727747631957754e-06, 0.9999948740005493]"
0831790701,1,1,"[0.0002661531325429678, 0.9997338652610779]"
0124710801,1,1,"[1.783857078407891e-05, 0.9999821186065674]"
0093641601,0,1,"[0.004392457194626331, 0.9956075549125671]"
0803670601,0,1,"[5.0731479859678075e-05, 0.9999492168426514]"
0551870601,0,1,"[5.5661006626905873e-05, 0.9999443292617798]"
0725200101,0,0,"[0.810889482498169, 0.18911054730415344]"
0864330301,0,1,"[0.395550936460495, 0.6044490337371826]"
0145800101,0,1,"[4.726888801087625e-05, 0.9999526739120483]"
0740960101,0,1,"[0.47003042697906494, 0.5299695134162903]"
0864330201,0,0,"[0.6132234930992126, 0.38677650690078735]"
0805080501,0,1,"[0.006711100693792105, 0.9932889342308044]"
0093641501,0,1,"[8.060686377575621e-05, 0.9999194145202637]"
0761630101,0,1,"[2.146156390381293e-07, 0.9999997615814209]"
0805080401,0,1,"[0.0027486493345350027, 0.9972513318061829]"
