Combo,Opt Acc.,Conf Range,80% Acc,80% Pur,80% Comp,90% Acc,90% Pur,90% Comp,95% Acc,95% Pur,95% Comp,99% Acc,99% Pur,99% Comp
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)",0.8181818181818182,"[0.500001, 1.0]",0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0
"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.6666666666666666,"[1.0, 1.0]",0.24242424242424243,0.1935483870967742,1.0,0.24242424242424243,0.1935483870967742,1.0,0.2727272727272727,0.2,1.0,0.2878787878787879,0.2033898305084746,1.0
"(0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.3181818181818182,"[1.0, 1.0]",0.24242424242424243,0.1935483870967742,1.0,0.24242424242424243,0.1935483870967742,1.0,0.24242424242424243,0.1935483870967742,1.0,0.25757575757575757,0.19672131147540983,1.0
"(0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.7424242424242424,"[1.0, 1.0]",0.2727272727272727,0.2,1.0,0.2727272727272727,0.2,1.0,0.30303030303030304,0.20689655172413793,1.0,0.3181818181818182,0.21052631578947367,1.0
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.8939393939393939,"[1.0, 1.0]",0.3333333333333333,0.2037037037037037,0.9166666666666666,0.3939393939393939,0.22,0.9166666666666666,0.4393939393939394,0.23404255319148937,0.9166666666666666,0.48484848484848486,0.25,0.9166666666666666
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13)",0.2878787878787879,"[0.9999979999999999, 1.0]",0.21212121212121213,0.1875,1.0,0.22727272727272727,0.19047619047619047,1.0,0.22727272727272727,0.19047619047619047,1.0,0.24242424242424243,0.1935483870967742,1.0
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13)",0.18181818181818182,"[0.0, 1.0]",0.18181818181818182,0.18181818181818182,1.0,0.18181818181818182,0.18181818181818182,1.0,0.18181818181818182,0.18181818181818182,1.0,0.18181818181818182,0.18181818181818182,1.0
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13)",0.24242424242424243,"[0.9999819999999999, 1.0]",0.18181818181818182,0.18181818181818182,1.0,0.18181818181818182,0.18181818181818182,1.0,0.18181818181818182,0.18181818181818182,1.0,0.18181818181818182,0.18181818181818182,1.0
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13)",0.8636363636363636,"[0.9994869999999999, 0.999775]",0.25757575757575757,0.1864406779661017,0.9166666666666666,0.2727272727272727,0.1896551724137931,0.9166666666666666,0.3333333333333333,0.2037037037037037,0.9166666666666666,0.4393939393939394,0.2222222222222222,0.8333333333333334
"(0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13)",0.3181818181818182,"[1.0, 1.0]",0.24242424242424243,0.1935483870967742,1.0,0.24242424242424243,0.1935483870967742,1.0,0.25757575757575757,0.19672131147540983,1.0,0.2727272727272727,0.2,1.0
"(0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13)",0.2878787878787879,"[0.999838, 1.0]",0.24242424242424243,0.1935483870967742,1.0,0.24242424242424243,0.1935483870967742,1.0,0.24242424242424243,0.1935483870967742,1.0,0.24242424242424243,0.1935483870967742,1.0
"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13)",0.2727272727272727,"[0.9996079999999999, 1.0]",0.22727272727272727,0.19047619047619047,1.0,0.22727272727272727,0.19047619047619047,1.0,0.24242424242424243,0.1935483870967742,1.0,0.24242424242424243,0.1935483870967742,1.0
"(0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13)",0.9393939393939394,"[0.99998, 0.9999979999999999]",0.2878787878787879,0.2033898305084746,1.0,0.2878787878787879,0.19298245614035087,0.9166666666666666,0.30303030303030304,0.19642857142857142,0.9166666666666666,0.3333333333333333,0.2037037037037037,0.9166666666666666
"(0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.2878787878787879,"[0.999907, 1.0]",0.24242424242424243,0.1935483870967742,1.0,0.24242424242424243,0.1935483870967742,1.0,0.24242424242424243,0.1935483870967742,1.0,0.24242424242424243,0.1935483870967742,1.0
