OBSID,Real Label,Pred Label,Probabilities
0124710801,1,1,"[5.873629138619663e-09, 1.0]"
0803671001,0,1,"[8.264002644864377e-06, 0.999991774559021]"
0794581201,0,1,"[2.0759953258675523e-06, 0.9999979734420776]"
0870830401,0,1,"[4.0790700950310566e-06, 0.9999959468841553]"
0761630201,0,1,"[2.9321787220482065e-09, 1.0]"
0861910201,1,1,"[6.706625255148424e-10, 1.0]"
0725200101,0,1,"[0.0057472893968224525, 0.9942527413368225]"
0152170501,0,1,"[2.757775519057759e-07, 0.9999997615814209]"
0603260201,0,1,"[5.048023332676621e-09, 1.0]"
0803670501,0,1,"[2.245340965600917e-06, 0.9999977350234985]"
0870830201,0,1,"[1.1902955066034338e-06, 0.9999988079071045]"
0790650101,0,1,"[0.41202789545059204, 0.587972104549408]"
0891800601,0,1,"[1.3285008648722396e-09, 1.0]"
0200670401,0,1,"[2.8657709094659367e-07, 0.9999997615814209]"
0803671101,0,1,"[7.284909884219815e-07, 0.9999992847442627]"
0864330301,0,1,"[1.6620580936432816e-05, 0.9999834299087524]"
0111790101,0,1,"[0.0018039734568446875, 0.9981960654258728]"
0893810501,1,1,"[2.718110749810876e-07, 0.9999997615814209]"
0145800101,0,1,"[1.21932984598061e-07, 0.9999998807907104]"
0500730101,0,1,"[8.071375532381353e-07, 0.9999991655349731]"
0805080501,0,1,"[6.942469710224941e-09, 1.0]"
0872390101,1,1,"[7.498920928661335e-11, 1.0]"
0500730201,0,1,"[1.4428251233766787e-05, 0.9999855756759644]"
0651790201,0,1,"[4.793343578057829e-06, 0.999995231628418]"
0306630101,0,1,"[4.987333115935577e-11, 1.0]"
0093641501,0,1,"[3.4263778161403025e-06, 0.999996542930603]"
0851180401,1,1,"[3.167793176210576e-13, 1.0]"
0870830101,0,1,"[5.8329163721282384e-08, 1.0]"
0657820101,0,1,"[0.000295668316539377, 0.9997043013572693]"
0200670101,0,1,"[3.435297154607085e-24, 1.0]"
0805080401,0,1,"[3.4907688473140297e-07, 0.9999996423721313]"
0864560101,1,1,"[3.6145487644634322e-12, 1.0]"
0551870401,0,1,"[1.2185296327515971e-08, 1.0]"
0551450101,0,1,"[3.0577364668715745e-05, 0.9999693632125854]"
0510011501,0,1,"[8.899053306620116e-20, 1.0]"
0093641601,0,1,"[0.06726381927728653, 0.9327362179756165]"
0691570101,0,1,"[3.308116447442444e-06, 0.9999966621398926]"
0831790701,1,1,"[1.163507779011752e-08, 1.0]"
0112550601,0,1,"[2.80524295703799e-06, 0.9999971389770508]"
0401360301,0,1,"[2.6481359327590326e-07, 0.9999997615814209]"
0861910301,1,1,"[0.35422664880752563, 0.6457733511924744]"
0401360201,0,1,"[7.312310572160641e-06, 0.9999927282333374]"
0803670601,0,1,"[5.0691210162767675e-06, 0.9999948740005493]"
0870830301,0,1,"[1.8204084426542977e-06, 0.9999982118606567]"
0200920101,0,1,"[3.031987461099561e-08, 1.0]"
0556090101,0,1,"[9.809127732296474e-08, 0.9999998807907104]"
0304190101,0,1,"[1.0862146168890622e-15, 1.0]"
0306630201,0,1,"[2.1240065262162489e-10, 1.0]"
0401360101,0,1,"[1.8261836885358207e-05, 0.9999817609786987]"
0551870601,0,1,"[1.4772211898161913e-06, 0.9999985694885254]"
0823680101,1,1,"[2.2924389497802622e-08, 1.0]"
0740960101,0,1,"[3.041823504190688e-07, 0.9999996423721313]"
0851180501,1,1,"[1.0675820985702952e-13, 1.0]"
0761630301,1,1,"[3.9530399931209104e-07, 0.9999996423721313]"
0784510301,0,1,"[3.567373312307609e-07, 0.9999996423721313]"
0842340201,0,1,"[2.1395147996372543e-05, 0.9999786615371704]"
0200670301,0,1,"[1.2743513252644334e-05, 0.9999872446060181]"
0112551701,0,1,"[5.352663720259443e-05, 0.9999464750289917]"
0411980101,0,1,"[1.4795412425883114e-05, 0.9999852180480957]"
0093641701,0,1,"[1.55144116433803e-05, 0.9999845027923584]"
0200670201,0,1,"[1.8147440827678163e-28, 1.0]"
0311190101,0,1,"[0.08379193395376205, 0.9162080883979797]"
0725200301,0,1,"[0.010794511996209621, 0.9892054796218872]"
0864330201,0,1,"[6.880210275994614e-05, 0.9999312162399292]"
0862760201,0,1,"[9.839482117968146e-06, 0.9999901056289673]"
0864330101,1,1,"[2.140560173558015e-09, 1.0]"
0864330401,0,1,"[8.633595030005381e-07, 0.9999991655349731]"
0411980401,1,1,"[1.917955160024576e-05, 0.9999808073043823]"
0761630101,0,1,"[2.381809376464372e-12, 1.0]"
