,Features Used,Validation Accuracy,Sim Test Accuracy,Real Test Accuracy,Real Test Completeness,Real Test Purity,F1 Score,Metric Value
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10)",0.9258333444595336,0.925599992275238,0.4202898442745209,1.0,0.2452830188679245,0.393939393939394,0.393939393939394
1,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11)",0.9320555329322816,0.9341999888420104,0.3913043439388275,0.9230769230769232,0.2264150943396226,0.3636363636363636,0.3636363636363636
2,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12)",0.936888873577118,0.9350000023841858,0.2173912972211837,1.0,0.1940298507462686,0.325,0.325
3,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 13)",0.9383888840675354,0.9369999766349792,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.0
4,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11)",0.9211666584014891,0.9218000173568726,0.7246376872062683,0.9230769230769232,0.4,0.5581395348837209,0.5581395348837209
5,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12)",0.917888879776001,0.9172000288963318,0.5362318754196167,1.0,0.2888888888888888,0.4482758620689655,0.4482758620689655
6,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 13)",0.8382222056388855,0.8402000069618225,0.2028985470533371,1.0,0.1911764705882352,0.3209876543209876,0.3209876543209876
7,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 12)",0.938111126422882,0.9372000098228456,0.2318840622901916,0.9230769230769232,0.1875,0.3116883116883117,0.3116883116883117
8,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 13)",0.9326111078262328,0.9315000176429749,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.3170731707317073
9,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 12, 13)",0.9374444484710692,0.9373000264167786,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.0
10,"(0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11)",0.9035000205039978,0.9035000205039978,0.4057970941066742,0.9230769230769232,0.2307692307692307,0.3692307692307692,0.3692307692307692
11,"(0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 12)",0.9232222437858582,0.9236000180244446,0.4927536249160766,0.9230769230769232,0.2608695652173913,0.4067796610169491,0.4067796610169491
12,"(0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 13)",0.9273889064788818,0.92739999294281,0.2028985470533371,1.0,0.1911764705882352,0.3209876543209876,0.3209876543209876
13,"(0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 12)",0.9388889074325562,0.9366999864578248,0.2898550629615783,0.9230769230769232,0.2,0.3287671232876712,0.3287671232876712
14,"(0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 13)",0.9431666731834412,0.9386000037193298,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.0
15,"(0, 1, 2, 3, 4, 5, 6, 7, 9, 12, 13)",0.9349444508552552,0.935699999332428,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.0
16,"(0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12)",0.924833357334137,0.9236000180244446,0.4927536249160766,0.9230769230769232,0.2608695652173913,0.4067796610169491,0.4067796610169491
17,"(0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 13)",0.9272222518920898,0.9276999831199646,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.3170731707317073
18,"(0, 1, 2, 3, 4, 5, 6, 7, 10, 12, 13)",0.6251111030578613,0.6407999992370605,0.260869562625885,0.6923076923076923,0.1607142857142857,0.2608695652173913,0.2608695652173913
19,"(0, 1, 2, 3, 4, 5, 6, 7, 11, 12, 13)",0.9282222390174866,0.9258999824523926,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.3170731707317073
20,"(0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11)",0.9311110973358154,0.9298999905586244,0.47826087474823,0.9230769230769232,0.2553191489361702,0.4,0.4
21,"(0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 12)",0.9247221946716307,0.9233999848365784,0.4202898442745209,1.0,0.2452830188679245,0.393939393939394,0.393939393939394
22,"(0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 13)",0.9231666922569276,0.9246000051498412,0.2173912972211837,0.9230769230769232,0.1846153846153846,0.3076923076923077,0.3076923076923077
23,"(0, 1, 2, 3, 4, 5, 6, 8, 9, 11, 12)",0.936388909816742,0.9370999932289124,0.260869562625885,0.9230769230769232,0.1935483870967742,0.3199999999999999,0.3199999999999999
