Features Used,Validation Accuracy,Sim Test Accuracy,Real Test Accuracy,Real Test Completeness,Real Test Purity,F1 Score,Metric Value
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)",0.9999444484710693,0.9997000098228455,0.8484848737716675,0.9166666666666666,0.55,0.6874999999999999,0.6874999999999999
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12)",0.9998888969421387,1.0,0.8939393758773804,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.7586206896551724
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13)",0.9981111288070679,0.9983000159263611,0.9090909361839294,0.9166666666666666,0.6875,0.7857142857142857,0.7857142857142857
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12)",1.0,1.0,0.9696969985961914,0.8333333333333334,1.0,0.9090909090909091,0.9090909090909091
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13)",1.0,1.0,0.9696969985961914,0.8333333333333334,1.0,0.9090909090909091,0.9090909090909091
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13)",1.0,1.0,0.9696969985961914,0.8333333333333334,1.0,0.9090909090909091,0.9090909090909091
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12)",1.0,1.0,0.9696969985961914,0.8333333333333334,1.0,0.9090909090909091,0.9090909090909091
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13)",0.9995555281639099,0.9998999834060669,0.8787878751754761,0.5,0.75,0.6,0.6
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 13)",1.0,1.0,0.43939393758773804,0.9166666666666666,0.23404255319148937,0.3728813559322034,0.3728813559322034
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13)",0.9999444484710693,1.0,0.22727273404598236,1.0,0.19047619047619047,0.32,0.32
"(0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12)",0.9998888969421387,0.9998999834060669,0.9545454382896423,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.8799999999999999
"(0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 13)",1.0,1.0,0.8333333134651184,0.8333333333333334,0.5263157894736842,0.6451612903225806,0.6451612903225806
"(0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 13)",0.9970555305480957,0.9970999956130981,0.8333333134651184,0.9166666666666666,0.5238095238095238,0.6666666666666667,0.6666666666666667
"(0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 12, 13)",1.0,1.0,0.9545454382896423,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.8695652173913043
"(0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13)",0.999666690826416,0.9994999766349792,0.5454545617103577,0.4166666666666667,0.17857142857142858,0.25,0.25
"(0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12)",0.9478333592414856,0.945900022983551,0.8333333134651184,0.9166666666666666,0.5238095238095238,0.6666666666666667,0.6666666666666667
"(0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13)",0.9944444298744202,0.9936000108718872,0.3030303120613098,0.9166666666666666,0.19642857142857142,0.32352941176470584,0.32352941176470584
(0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13)",0.9986110925674438,0.9991999864578247,0.8484848737716675,0.9166666666666666,0.55,0.6874999999999999,0.6874999999999999
"(0, 1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13)",1.0,1.0,0.9545454382896423,0.75,1.0,0.8571428571428571,0.8571428571428571
"(0, 1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 13)",0.9997777938842773,1.0,0.8181818127632141,0.4166666666666667,0.5,0.45454545454545453,0.45454545454545453
"(0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13)",0.9626111388206482,0.9631999731063843,0.6060606241226196,0.9166666666666666,0.3055555555555556,0.4583333333333333,0.4583333333333333
"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12)",0.9989444613456726,0.9991000294685364,0.8939393758773804,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.7586206896551724
"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13)",0.9961666464805603,0.9970999956130981,0.8181818127632141,0.9166666666666666,0.5,0.6470588235294118,0.6470588235294118
"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 12, 13)",0.9999444484710693,1.0,0.8636363744735718,0.9166666666666666,0.5789473684210527,0.7096774193548387,0.7096774193548387
"(0, 1, 2, 3, 4, 5, 7, 8, 9, 11, 12, 13)",1.0,1.0,0.9696969985961914,0.8333333333333334,1.0,0.9090909090909091,0.9090909090909091
"(0, 1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 13)",0.9997777938842773,1.0,0.5151515007019043,0.8333333333333334,0.25,0.3846153846153846,0.3846153846153846
"(0, 1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 13)",0.9999444484710693,0.9995999932289124,0.8484848737716675,0.9166666666666666,0.55,0.6874999999999999,0.6874999999999999
"(0, 1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13)",0.9998888969421387,0.9998999834060669,0.9090909361839294,0.9166666666666666,0.6875,0.7857142857142857,0.7857142857142857
"(0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12)",0.9984444379806519,0.998199999332428,0.8333333134651184,0.9166666666666666,0.5238095238095238,0.6666666666666667,0.6666666666666667
"(0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 13)",1.0,1.0,0.9545454382896423,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.8799999999999999
"(0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 12, 13)",1.0,1.0,0.9242424368858337,0.9166666666666666,0.7333333333333333,0.8148148148148148,0.8148148148148148
"(0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 12, 13)",1.0,1.0,0.9545454382896423,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.8695652173913043
"(0, 1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13)",0.9997777938842773,1.0,0.3181818127632141,0.9166666666666666,0.2,0.3283582089552239,0.3283582089552239
"(0, 1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 13)",0.999833345413208,0.9998999834060669,0.939393937587738,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
"(0, 1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13)",0.9998888969421387,1.0,0.9545454382896423,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.8799999999999999
"(0, 1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13)",0.9991111159324646,0.9994000196456909,0.8939393758773804,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.7586206896551724
"(0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12)",0.9847777485847473,0.9858999848365784,0.8787878751754761,0.75,0.6428571428571429,0.6923076923076924,0.6923076923076924
"(0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 13)",1.0,1.0,0.9545454382896423,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.8799999999999999
"(0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 12, 13)",0.9998888969421387,1.0,0.9545454382896423,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.8695652173913043
"(0, 1, 2, 3, 5, 6, 7, 8, 9, 11, 12, 13)",0.9981111288070679,0.9986000061035156,0.4848484992980957,1.0,0.2608695652173913,0.41379310344827586,0.41379310344827586
"(0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13)",1.0,1.0,0.3787878751754761,0.9166666666666666,0.21568627450980393,0.3492063492063492,0.3492063492063492
"(0, 1, 2, 3, 5, 6, 7, 9, 10, 11, 12, 13)",0.9996111392974854,0.9990000128746033,0.8030303120613098,0.9166666666666666,0.4782608695652174,0.6285714285714286,0.6285714285714286
"(0, 1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13)",1.0,1.0,0.939393937587738,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.8461538461538461
"(0, 1, 2, 3, 5, 7, 8, 9, 10, 11, 12, 13)",1.0,1.0,0.939393937587738,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.8461538461538461
"(0, 1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13)",0.9998888969421387,1.0,0.8939393758773804,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.7586206896551724
"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12)",0.9993888735771179,0.9993000030517578,0.8484848737716675,0.9166666666666666,0.55,0.6874999999999999,0.6874999999999999
"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 13)",0.9986110925674438,0.9993000030517578,0.9242424368858337,0.9166666666666666,0.7333333333333333,0.8148148148148148,0.8148148148148148
"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13)",1.0,0.9998999834060669,0.8787878751754761,0.9166666666666666,0.6111111111111112,0.7333333333333334,0.7333333333333334
"(0, 1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13)",0.9999444484710693,1.0,0.9696969985961914,0.8333333333333334,1.0,0.9090909090909091,0.9090909090909091
"(0, 1, 2, 4, 5, 6, 7, 8, 10, 11, 12, 13)",0.9998888969421387,0.9998999834060669,0.939393937587738,0.75,0.9,0.8181818181818182,0.8181818181818182
