Features Used,Validation Accuracy,Sim Test Accuracy,Real Test Accuracy
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)",0.9319444298744202,0.9312000274658203,0.5652173757553101
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13)",0.9151666760444641,0.914900004863739,0.23188406229019165
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13)",0.4988333284854889,0.5,0.8115941882133484
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13)",0.9392777681350708,0.9381999969482422,0.18840579688549042
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13)",0.9144999980926514,0.9139999747276306,0.18840579688549042
"(0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13)",0.4988333284854889,0.5,0.8115941882133484
"(0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13)",0.9234444499015808,0.92330002784729,0.28985506296157837
"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13)",0.9301111102104187,0.928600013256073,0.21739129722118378
"(0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13)",0.4988333284854889,0.5,0.8115941882133484
"(0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.4988333284854889,0.5,0.8115941882133484
"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.4988333284854889,0.5,0.8115941882133484
"(0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.9306666851043701,0.929099977016449,0.2028985470533371
"(0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.9296666383743286,0.9291999936103821,0.2028985470533371
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.9308333396911621,0.9304999709129333,0.23188406229019165
