OBSID,Real Label,Pred Label,P1,P2,,,,,
790650101,0,0,0.859518468,0.140481576,,,,,
725200301,0,0,0.841605008,0.158395007,,,,,
311190101,0,0,0.829112768,0.170887217,,,,,
725200101,0,0,0.821909428,0.178090543,,,,,
864330401,0,0,0.813642025,0.186357975,,,,,
861910301,1,0,0.681911111,0.318088889,,,,,
111790101,0,0,0.668258429,0.331741601,,,,,
306630201,0,0,0.586652398,0.413347572,,,,,
870830201,0,0,0.572546721,0.427453309,,,,,
864330301,0,0,0.552016437,0.447983563,,,,,
864330201,0,0,0.541355073,0.458644867,,,,,
740960101,0,1,0.480937481,0.519062459,,,,,
112551701,0,1,0.464384645,0.535615325,,,,,
870830301,0,1,0.44495362,0.55504638,,,,,
657820101,0,1,0.363274813,0.636725128,,,,,
401360101,0,1,0.348433495,0.651566565,,,,,
306630101,0,1,0.347940475,0.652059495,,,,,
803671101,0,1,0.326169521,0.673830509,,,,,
145800101,0,1,0.236671463,0.763328552,,,,,
870830401,0,1,0.169912711,0.830087304,,,,,
805080401,0,1,0.157380387,0.842619538,,,,,
870830101,0,1,0.157213762,0.842786252,,,,,
784510301,0,1,0.117694341,0.882305682,,,,,
556090101,0,1,0.094573304,0.905426681,,,,,
551870601,0,1,0.082541406,0.917458534,,,,,
112550601,0,1,0.038736746,0.961263239,,,,,
152170501,0,1,0.036920592,0.963079333,,,,,
803671001,0,1,0.033802837,0.966197193,,,,,
401360301,0,1,0.031134026,0.968865931,,,,,
551870401,0,1,0.030940725,0.969059229,,,,,
500730201,0,1,0.030851873,0.969148159,,,,,
803670601,0,1,0.030472899,0.969527066,,,,,
761630301,0,1,0.028238645,0.971761286,,,,,
891800601,0,1,0.027496016,0.97250396,,,,,
200670401,0,1,0.027400414,0.972599566,,,,,
842340201,0,1,0.02032263,0.979677379,,,,,
803670501,0,1,0.019604683,0.980395257,,,,,
691570101,0,1,0.017099041,0.982901037,,,,,
794581201,0,1,0.01706323,0.98293674,,,,,
411980101,0,1,0.016160702,0.983839273,,,,,
500730101,0,1,0.012721607,0.987278342,,,,,
603260201,0,1,0.008461814,0.991538167,,,,,
401360201,0,1,0.007641898,0.992358029,,,,,
651790201,0,1,0.005674569,0.994325459,,,,,
805080501,0,1,0.004931656,0.995068312,,,,,
761630201,0,1,0.004309517,0.995690525,,,,,
200670301,0,1,0.002762042,0.997237921,,,,,
200920101,0,1,0.002674977,0.997324944,,,,,
551450101,0,1,0.002234107,0.997765899,,,,,
761630101,0,1,0.001908915,0.998091042,,,,,
200670101,0,1,0.001426521,0.998573422,,,,,
862760201,0,1,0.000896102,0.999103844,,,,,
304190101,0,1,0.000670709,0.999329329,,,,,
851180401,1,1,0.00054495,0.999455035,,,,Purity,1
893810501,1,1,0.000477462,0.999522567,,,,Recall,0.916666667
823680101,1,1,0.000432182,0.999567807,,,,,
831790701,1,1,0.000282803,0.999717176,,,,,0.956521739
411980401,1,1,0.000179661,0.999820411,,,,,
864330101,1,1,0.000153489,0.999846458,,,,,
861910201,1,1,0.00012036,0.999879599,,,,,
851180501,1,1,4.44E-05,0.999955654,,,,,
864560101,1,1,4.14E-05,0.999958515,,,,,
872390101,1,1,3.77E-05,0.99996233,,,,,
124710801,1,1,6.67E-06,0.999993324,,,,,
