OBSID,Real Label,Pred Label,Probabilities
0805080501,0,0,"[0.9993832111358643, 0.0006167505052872002]"
0803670601,0,0,"[0.9880920648574829, 0.011907899752259254]"
0761630301,0,0,"[0.9817958474159241, 0.01820419542491436]"
0200670401,0,0,"[0.9903326630592346, 0.00966734904795885]"
0864560101,1,0,"[0.9991245865821838, 0.0008754389127716422]"
0803671101,0,0,"[0.9847651720046997, 0.015234829857945442]"
0111790101,0,0,"[0.9912166595458984, 0.00878333393484354]"
0740960101,0,0,"[0.9979870319366455, 0.0020129745826125145]"
0872390101,1,0,"[1.0, 1.9384485128171036e-08]"
0304190101,0,0,"[0.9996304512023926, 0.00036957187694497406]"
0725200101,0,0,"[0.9996997117996216, 0.0003002912562806159]"
0200670301,0,0,"[0.9918479919433594, 0.008152002468705177]"
0152170501,0,0,"[0.9856050610542297, 0.014394961297512054]"
0823680101,1,0,"[0.997724711894989, 0.002275301143527031]"
0551870601,0,0,"[0.9912645816802979, 0.008735490962862968]"
0551870401,0,0,"[0.9937900900840759, 0.00620990851894021]"
0556090101,0,0,"[0.9891223311424255, 0.010877699591219425]"
0112551701,0,0,"[0.993722140789032, 0.006277873180806637]"
0870830201,0,0,"[0.9992350339889526, 0.0007650291081517935]"
0401360201,0,0,"[0.9923243522644043, 0.00767563097178936]"
0784510301,0,0,"[0.9980989098548889, 0.0019011255353689194]"
0200920101,0,0,"[0.9997058510780334, 0.00029415733297355473]"
0842340201,0,0,"[0.9958375692367554, 0.004162443336099386]"
0124710801,1,0,"[0.9994422793388367, 0.0005576698458753526]"
0861910201,1,0,"[0.9997485280036926, 0.00025146716507151723]"
0861910301,1,0,"[1.0, 3.0106511728078544e-10]"
0790650101,0,0,"[0.9999932050704956, 6.79795539326733e-06]"
0831790701,1,0,"[1.0, 6.115336237400015e-09]"
0794581201,0,0,"[0.9978415966033936, 0.0021583272609859705]"
0401360101,0,0,"[0.9879733324050903, 0.012026706710457802]"
0112550601,0,0,"[0.9903922080993652, 0.009607814252376556]"
0657820101,0,0,"[0.963836133480072, 0.036163825541734695]"
0864330201,0,0,"[0.999996542930603, 3.401438561922987e-06]"
0870830401,0,0,"[0.9958588480949402, 0.004141116049140692]"
0311190101,0,0,"[0.9999991655349731, 7.94733921338775e-07]"
0870830301,0,0,"[0.9647300839424133, 0.03526991978287697]"
0651790201,0,0,"[0.9997242093086243, 0.0002757266629487276]"
0401360301,0,0,"[0.9857036471366882, 0.014296319335699081]"
0893810501,1,0,"[0.9938894510269165, 0.006110534071922302]"
0891800601,0,0,"[0.9908586144447327, 0.009141349233686924]"
0864330301,0,0,"[0.9974902868270874, 0.0025096663739532232]"
0851180501,1,0,"[0.9999998807907104, 1.1609090933006883e-07]"
0870830101,0,0,"[0.9994246959686279, 0.0005753400619141757]"
0805080401,0,0,"[0.999535322189331, 0.0004646486777346581]"
0306630201,0,0,"[0.9999548196792603, 4.522929884842597e-05]"
0803670501,0,0,"[0.9958420395851135, 0.004157890100032091]"
0691570101,0,0,"[0.9996435642242432, 0.0003564100479707122]"
0551450101,0,0,"[0.9925530552864075, 0.007446959614753723]"
0864330101,1,0,"[0.9998970031738281, 0.00010300660505890846]"
0500730101,0,0,"[0.9875608086585999, 0.012439235113561153]"
0411980101,0,0,"[0.9945905208587646, 0.005409506149590015]"
0500730201,0,0,"[0.9986769556999207, 0.0013230275362730026]"
0145800101,0,0,"[0.9867383241653442, 0.013261677697300911]"
0603260201,0,0,"[0.9973610043525696, 0.002638979582116008]"
0851180401,1,0,"[1.0, 1.4406835099900483e-12]"
0761630201,0,0,"[0.9999146461486816, 8.535944652976468e-05]"
0761630101,0,0,"[0.9944479465484619, 0.005552088841795921]"
0803671001,0,0,"[0.9862802028656006, 0.013719776645302773]"
0725200301,0,0,"[0.9989572763442993, 0.0010426929220557213]"
0864330401,0,0,"[0.9999972581863403, 2.7080250220024027e-06]"
0306630101,0,0,"[0.9999971389770508, 2.9119630653440254e-06]"
0411980401,1,0,"[0.9884839653968811, 0.011516083031892776]"
0862760201,0,0,"[0.995547890663147, 0.004452048800885677]"
0200670101,0,0,"[0.9876542687416077, 0.012345713563263416]"
