OBSID,Real Label,Pred Label,Probabilities
0725200301,0,0,"[0.775834321975708, 0.22416569292545319]"
0861910301,1,1,"[4.032208835269557e-06, 0.9999959468841553]"
0803671001,0,1,"[1.1140004971821327e-05, 0.9999889135360718]"
0551450101,0,1,"[0.00018240748613607138, 0.9998176693916321]"
0200670301,0,1,"[1.6924838419640764e-08, 1.0]"
0551870401,0,1,"[2.366855866853257e-08, 1.0]"
0691570101,0,1,"[7.119536894606426e-05, 0.9999288320541382]"
0111790101,0,1,"[0.22669099271297455, 0.7733089923858643]"
0794581201,0,1,"[4.7626843297621235e-05, 0.9999523162841797]"
0306630201,0,1,"[8.685398643137887e-05, 0.9999130964279175]"
0803670501,0,1,"[3.1433228286914527e-06, 0.9999969005584717]"
0761630201,0,1,"[8.845731439000026e-12, 1.0]"
0784510301,0,1,"[2.9575796816061484e-06, 0.9999970197677612]"
0500730201,0,1,"[0.0010912914294749498, 0.9989087581634521]"
0870830301,0,1,"[4.43692879343871e-05, 0.9999556541442871]"
0411980401,1,1,"[2.447527731419541e-05, 0.9999755620956421]"
0842340201,0,1,"[0.0016122276429086924, 0.9983878135681152]"
0306630101,0,1,"[0.0002926244924310595, 0.9997074007987976]"
0725200101,0,0,"[0.899330735206604, 0.1006692424416542]"
0657820101,0,0,"[0.8263545036315918, 0.17364554107189178]"
0803671101,0,1,"[4.829076715395786e-05, 0.9999517202377319]"
0864560101,1,1,"[1.2488296694017897e-21, 1.0]"
0823680101,1,1,"[2.5768134956208717e-20, 1.0]"
0893810501,1,1,"[7.010225798181345e-20, 1.0]"
0803670601,0,1,"[3.843842932838015e-06, 0.9999961853027344]"
0401360101,0,1,"[1.4205663319444284e-05, 0.9999858140945435]"
0862760201,0,1,"[4.6351839699809716e-08, 1.0]"
0761630101,0,1,"[4.4999279302793127e-10, 1.0]"
0112550601,0,1,"[2.3413087441026548e-11, 1.0]"
0500730101,0,1,"[0.00017389017739333212, 0.9998261332511902]"
0200670101,0,1,"[2.3916414647828788e-05, 0.9999760389328003]"
0124710801,1,1,"[1.4747830550968943e-24, 1.0]"
0603260201,0,1,"[2.8614197122855956e-10, 1.0]"
0200670401,0,1,"[0.00036659499164670706, 0.9996334314346313]"
0200670201,0,1,"[3.886664785568428e-07, 0.9999996423721313]"
0401360201,0,1,"[0.00014521532284561545, 0.9998548030853271]"
0790650101,0,0,"[0.8983201384544373, 0.10167980194091797]"
0870830101,0,1,"[1.7581737665750552e-06, 0.9999982118606567]"
0864330401,0,1,"[0.36138004064559937, 0.6386199593544006]"
0831790701,1,1,"[3.0179902879478035e-23, 1.0]"
0864330201,0,1,"[0.11855357885360718, 0.8814464807510376]"
0805080401,0,1,"[0.001481644227169454, 0.9985184073448181]"
0761630301,0,1,"[3.44557520293165e-08, 1.0]"
0861910201,1,1,"[5.480222221544835e-29, 1.0]"
0145800101,0,1,"[4.640823476620426e-07, 0.9999995231628418]"
0805080501,0,1,"[0.0006154988659545779, 0.9993845224380493]"
0864330301,0,1,"[0.2646583318710327, 0.7353416681289673]"
0551870601,0,1,"[5.042741759098135e-05, 0.99994957447052]"
0851180401,1,1,"[1.0807967934960394e-21, 1.0]"
0112551701,0,0,"[0.8834320902824402, 0.11656789481639862]"
0510011501,0,1,"[4.778798756888136e-05, 0.9999521970748901]"
0401360301,0,1,"[0.0011926249135285616, 0.998807430267334]"
0891800601,0,1,"[7.952934879540408e-07, 0.9999991655349731]"
0872390101,1,1,"[3.6914292464796745e-25, 1.0]"
0411980101,0,1,"[0.005114879459142685, 0.9948851466178894]"
0556090101,0,1,"[4.284779424779117e-05, 0.9999572038650513]"
0740960101,0,1,"[0.15250368416309357, 0.8474963903427124]"
0152170501,0,1,"[0.017102181911468506, 0.9828977584838867]"
0851180501,1,1,"[4.19058788679119e-25, 1.0]"
0311190101,0,0,"[0.8955478072166443, 0.1044522151350975]"
0651790201,0,1,"[6.289899090461404e-08, 0.9999998807907104]"
0864330101,1,1,"[6.618167856279593e-18, 1.0]"
0200920101,0,1,"[1.094787371869188e-09, 1.0]"
0870830201,0,1,"[1.2970352145202924e-05, 0.999987006187439]"
0304190101,0,1,"[2.1347788391476174e-20, 1.0]"
0870830401,0,1,"[3.5270702483103378e-06, 0.9999964237213135]"
