OBSID,Real Label,Pred Label,P1,P2
111790101,0,1,0.226690993,0.773308992
112550601,0,1,2.34E-11,1
112551701,0,0,0.88343209,0.116567895
124710801,1,1,1.47E-24,1
145800101,0,1,4.64E-07,0.999999523
152170501,0,1,0.017102182,0.982897758
200670101,0,1,2.39E-05,0.999976039
200670201,0,1,3.89E-07,0.999999642
200670301,0,1,1.69E-08,1
200670401,0,1,0.000366595,0.999633431
200920101,0,1,1.09E-09,1
304190101,0,1,2.13E-20,1
306630101,0,1,0.000292624,0.999707401
306630201,0,1,8.69E-05,0.999913096
311190101,0,0,0.895547807,0.104452215
401360101,0,1,1.42E-05,0.999985814
401360201,0,1,0.000145215,0.999854803
401360301,0,1,0.001192625,0.99880743
411980101,0,1,0.005114879,0.994885147
411980401,1,1,2.45E-05,0.999975562
500730101,0,1,0.00017389,0.999826133
500730201,0,1,0.001091291,0.998908758
510011501,0,1,4.78E-05,0.999952197
551450101,0,1,0.000182407,0.999817669
551870401,0,1,2.37E-08,1
551870601,0,1,5.04E-05,0.999949574
556090101,0,1,4.28E-05,0.999957204
603260201,0,1,2.86E-10,1
651790201,0,1,6.29E-08,0.999999881
657820101,0,0,0.826354504,0.173645541
691570101,0,1,7.12E-05,0.999928832
725200101,0,0,0.899330735,0.100669242
725200301,0,0,0.775834322,0.224165693
740960101,0,1,0.152503684,0.84749639
761630101,0,1,4.50E-10,1
761630201,0,1,8.85E-12,1
761630301,0,1,3.45E-08,1
784510301,0,1,2.96E-06,0.99999702
790650101,0,0,0.898320138,0.101679802
794581201,0,1,4.76E-05,0.999952316
803670501,0,1,3.14E-06,0.999996901
803670601,0,1,3.84E-06,0.999996185
803671001,0,1,1.11E-05,0.999988914
803671101,0,1,4.83E-05,0.99995172
805080401,0,1,0.001481644,0.998518407
805080501,0,1,0.000615499,0.999384522
823680101,1,1,2.58E-20,1
831790701,1,1,3.02E-23,1
842340201,0,1,0.001612228,0.998387814
851180401,1,1,1.08E-21,1
851180501,1,1,4.19E-25,1
861910201,1,1,5.48E-29,1
861910301,1,1,4.03E-06,0.999995947
862760201,0,1,4.64E-08,1
864330101,1,1,6.62E-18,1
864330201,0,1,0.118553579,0.881446481
864330301,0,1,0.264658332,0.735341668
864330401,0,1,0.361380041,0.638619959
864560101,1,1,1.25E-21,1
870830101,0,1,1.76E-06,0.999998212
870830201,0,1,1.30E-05,0.999987006
870830301,0,1,4.44E-05,0.999955654
870830401,0,1,3.53E-06,0.999996424
872390101,1,1,3.69E-25,1
891800601,0,1,7.95E-07,0.999999166
893810501,1,1,7.01E-20,1
