OBSID,Real Label,Pred Label,P1,P2
0093641601,0,0,0.835027456,0.164972588
0725200101,0,0,0.709983528,0.290016443
0790650101,0,0,0.698724926,0.301275045
0864330201,0,0,0.663350344,0.336649597
0657820101,0,0,0.633239567,0.366760492
0864330301,0,0,0.598747432,0.401252538
0725200301,0,0,0.577753663,0.422246307
0111790101,0,0,0.571273506,0.428726435
0864330401,0,0,0.5482108,0.45178923
0311190101,0,0,0.53807205,0.461927921
0112551701,0,1,0.495186269,0.50481379
0740960101,0,1,0.473027378,0.526972592
0842340201,0,1,0.392131478,0.607868493
0152170501,0,1,0.306939662,0.693060338
0411980101,0,1,0.295784205,0.704215825
0500730201,0,1,0.260893077,0.739106953
0411980401,1,1,0.221956074,0.778043926
0551450101,0,1,0.207818031,0.792181969
0401360101,0,1,0.204931542,0.795068443
0200670301,0,1,0.189710975,0.810289025
0870830401,0,1,0.161038026,0.838961959
0805080501,0,1,0.153086409,0.846913576
0691570101,0,1,0.145007119,0.854992867
0401360201,0,1,0.143412128,0.856587887
0862760201,0,1,0.125509351,0.874490619
0803670601,0,1,0.108724929,0.891275108
0803671001,0,1,0.09360344,0.906396568
0500730101,0,1,0.092578582,0.90742141
0870830201,0,1,0.08732444,0.91267556
0556090101,0,1,0.083302483,0.916697502
0870830301,0,1,0.078138374,0.921861649
0805080401,0,1,0.077385701,0.922614336
0794581201,0,1,0.073733009,0.926266968
0803670501,0,1,0.05882474,0.941175222
0864330101,1,1,0.057521395,0.942478597
0306630201,0,1,0.048490349,0.951509655
0870830101,0,1,0.047872353,0.952127635
0200670401,0,1,0.046335064,0.953664899
0401360301,0,1,0.042270642,0.957729399
0784510301,0,1,0.038995937,0.961004019
0306630101,0,1,0.038394455,0.961605489
0093641701,0,1,0.034720998,0.965279043
0803671101,0,1,0.030445557,0.969554424
0551870601,0,1,0.028949173,0.971050799
0145800101,0,1,0.024265036,0.975734949
0651790201,0,1,0.023340328,0.976659656
0093641501,0,1,0.021529693,0.978470325
0861910301,1,1,0.013866191,0.986133754
0112550601,0,1,0.012719654,0.987280309
0761630301,0,1,0.008038278,0.991961777
0551870401,0,1,0.005742623,0.994257331
0891800601,0,1,0.003925543,0.996074438
0761630201,0,1,0.003014336,0.996985614
0200920101,0,1,0.002532081,0.997467875
0761630101,0,1,0.000794587,0.99920541
0124710801,1,1,0.000788354,0.999211669
0823680101,1,1,0.000674859,0.999325156
0831790701,1,1,0.000605207,0.999394774
0851180401,1,1,0.000603951,0.999396086
0864560101,1,1,0.000514318,0.999485612
0893810501,1,1,0.000330514,0.999669552
0851180501,1,1,0.000144911,0.999855042
0603260201,0,1,9.25E-05,0.999907494
0872390101,1,1,8.58E-05,0.999914169
0861910201,1,1,7.92E-05,0.999920845
0200670101,0,1,6.96E-05,0.999930382
0200670201,0,1,2.39E-05,0.999976039
0304190101,0,1,7.42E-07,0.999999285
0510011501,0,1,3.48E-08,1
