Features Used,Validation Accuracy,Sim Test Accuracy,Real Test Accuracy
"(0,)",0.8966666460037231,0.8938000202178955,0.4637681245803833
"(1,)",0.9085000157356262,0.910099983215332,0.739130437374115
"(2,)",0.6381666660308838,0.640500009059906,0.2753623127937317
"(3,)",0.921999990940094,0.9232000112533569,0.6231883764266968
"(4,)",0.8996111154556274,0.9016000032424927,0.5507246255874634
"(5,)",0.7860000133514404,0.7860999703407288,0.7681159377098083
"(6,)",0.6986666917800903,0.6998999714851379,0.782608687877655
"(7,)",0.5015555620193481,0.5,0.8115941882133484
"(8,)",0.9193888902664185,0.9172000288963318,0.6376811861991882
"(9,)",0.9240000247955322,0.9225000143051147,0.5797101259231567
"(10,)",0.5015555620193481,0.5,0.8115941882133484
"(11,)",0.5015555620193481,0.5,0.8115941882133484
"(12,)",0.5015555620193481,0.5,0.8115941882133484
"(13,)",0.8470555543899536,0.8431000113487244,0.18840579688549042
