Features Used,Validation Accuracy,Sim Test Accuracy,Real Test Accuracy,Real Test Completeness,Real Test Purity
"(0, 1)",0.9150000214576721,0.9114999771118164,0.49275362491607666,0.9230769230769231,0.2608695652173913
"(0, 2)",0.9008333086967468,0.8992999792098999,0.4492753744125366,0.8461538461538461,0.23404255319148937
"(0, 3)",0.5007222294807434,0.5,0.8115941882133484,0.0,0
"(0, 4)",0.9288333058357239,0.9279999732971191,0.4637681245803833,1.0,0.26
"(0, 5)",0.9137222170829773,0.9157999753952026,0.5797101259231567,0.9230769230769231,0.3
"(0, 6)",0.9028333425521851,0.9023000001907349,0.47826087474823,0.8461538461538461,0.24444444444444444
"(0, 7)",0.902388870716095,0.9018999934196472,0.4637681245803833,0.8461538461538461,0.2391304347826087
"(0, 8)",0.49933332204818726,0.5,0.8115941882133484,0.0,0
"(0, 9)",0.9260555505752563,0.926800012588501,0.5362318754196167,1.0,0.28888888888888886
"(0, 10)",0.7210000157356262,0.7300000190734863,0.3913043439388275,0.6153846153846154,0.17777777777777778
"(0, 11)",0.902055561542511,0.8985999822616577,0.4637681245803833,0.8461538461538461,0.2391304347826087
"(0, 12)",0.5052222013473511,0.5,0.8115941882133484,0.0,0
"(0, 13)",0.9169999957084656,0.9151999950408936,0.18840579688549042,1.0,0.18840579710144928
"(1, 2)",0.5007222294807434,0.5,0.8115941882133484,0.0,0
"(1, 3)",0.9287777543067932,0.9304999709129333,0.3188405930995941,1.0,0.21666666666666667
"(1, 4)",0.9124444723129272,0.9088000059127808,0.6666666865348816,1.0,0.3611111111111111
"(1, 5)",0.9179444313049316,0.9178000092506409,0.7246376872062683,0.9230769230769231,0.4
"(1, 6)",0.4992777705192566,0.5,0.8115941882133484,0.0,0
"(1, 7)",0.49916666746139526,0.5,0.8115941882133484,0.0,0
"(1, 8)",0.9204444289207458,0.9175000190734863,0.739130437374115,1.0,0.41935483870967744
"(1, 9)",0.5015000104904175,0.5,0.8115941882133484,0.0,0
"(1, 10)",0.5011110901832581,0.5,0.8115941882133484,0.0,0
"(1, 11)",0.4909999966621399,0.5,0.8115941882133484,0.0,0
