Features Used,Validation Accuracy,Sim Test Accuracy,Real Test Accuracy,Real Test Completeness,Real Test Purity,F1 Score
"(0, 1, 2)",0.4971111118793487,0.5,0.8115941882133484,0.0,0.0,0.0
"(0, 1, 3)",0.933555543422699,0.9343000054359436,0.3768115937709808,1.0,0.2321428571428571,0.37681159420289845
"(0, 1, 4)",0.9203888773918152,0.916599988937378,0.4492753744125366,0.9230769230769232,0.2448979591836734,0.3870967741935483
"(0, 1, 5)",0.915499985218048,0.9092000126838684,0.4347825944423675,0.8461538461538461,0.2291666666666666,0.36065573770491793
"(0, 1, 6)",0.9162777662277222,0.9139000177383424,0.6231883764266968,0.8461538461538461,0.3142857142857143,0.45833333333333337
"(0, 1, 7)",0.4981666803359985,0.5,0.8115941882133484,0.0,0.0,0.0
"(0, 1, 8)",0.92166668176651,0.9228000044822692,0.5507246255874634,1.0,0.2954545454545454,0.45614035087719296
"(0, 1, 9)",0.929888904094696,0.9294000267982484,0.4927536249160766,1.0,0.2708333333333333,0.4262295081967213
"(0, 1, 10)",0.5048888921737671,0.5,0.8115941882133484,0.0,0.0,0.0
"(0, 1, 11)",0.4967222213745117,0.5,0.8115941882133484,0.0,0.0,0.0
"(0, 1, 12)",0.5034444332122803,0.5,0.8115941882133484,0.0,0.0,0.0
"(0, 1, 13)",0.9300000071525574,0.9319999814033508,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317072
"(0, 2, 3)",0.5008888840675354,0.5,0.8115941882133484,0.0,0.0,0.0
"(0, 2, 4)",0.5037222504615784,0.5,0.8115941882133484,0.0,0.0,0.0
"(0, 2, 5)",0.906166672706604,0.9020000100135804,0.4202898442745209,0.8461538461538461,0.2244897959183673,0.35483870967741926
"(0, 2, 6)",0.5018333196640015,0.5,0.8115941882133484,0.0,0.0,0.0
"(0, 2, 7)",0.5050555467605591,0.5,0.8115941882133484,0.0,0.0,0.0
"(0, 2, 8)",0.9212777614593506,0.9236000180244446,0.4057970941066742,1.0,0.2407407407407407,0.38805970149253727
"(0, 2, 9)",0.9301111102104188,0.929199993610382,0.4492753744125366,1.0,0.2549019607843137,0.40625
"(0, 2, 10)",0.6311666369438171,0.6473000049591064,0.4202898442745209,0.6923076923076923,0.2,0.31034482758620696
"(0, 2, 11)",0.9031111001968384,0.8999000191688538,0.4637681245803833,0.8461538461538461,0.2391304347826087,0.3728813559322034
"(0, 2, 12)",0.4970555603504181,0.5,0.8115941882133484,0.0,0.0,0.0
"(0, 2, 13)",0.9013888835906982,0.9009000062942504,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317072
"(0, 3, 4)",0.92894446849823,0.9322999715805054,0.4202898442745209,1.0,0.2452830188679245,0.3939393939393939
"(0, 3, 5)",0.9348888993263244,0.9332000017166138,0.4347825944423675,1.0,0.25,0.4
"(0, 3, 6)",0.4971666634082794,0.5,0.8115941882133484,0.0,0.0,0.0
"(0, 3, 7)",0.9276111125946044,0.9259999990463256,0.4637681245803833,0.9230769230769232,0.25,0.39344262295081966
"(0, 3, 8)",0.9319444298744202,0.934499979019165,0.2173912972211837,1.0,0.1940298507462686,0.32499999999999996
