Features Used,Validation Accuracy,Sim Test Accuracy,Real Test Accuracy,Real Test Completeness,Real Test Purity,F1 Score,Metric Value
"(1, 2, 3, 4, 8)",0.9356666803359984,0.9390000104904176,0.939393937587738,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.8461538461538461
"(1, 2, 3, 5, 8)",0.940500020980835,0.9387999773025512,0.939393937587738,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.8461538461538461
"(1, 2, 3, 6, 8)",0.9372222423553468,0.9381999969482422,0.9242424368858336,1.0,0.7058823529411765,0.8275862068965517,0.8275862068965517
"(1, 2, 3, 7, 8)",0.9400555491447448,0.9416000247001648,0.8939393758773804,1.0,0.631578947368421,0.7741935483870968,0.7741935483870968
"(1, 2, 3, 8, 9)",0.938444435596466,0.9398999810218812,0.9545454382896424,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.8799999999999999
"(1, 2, 3, 8, 10)",0.93705552816391,0.9375,0.9242424368858336,1.0,0.7058823529411765,0.8275862068965517,0.8275862068965517
"(1, 2, 3, 8, 11)",0.9484999775886536,0.9501000046730042,0.9696969985961914,0.8333333333333334,1.0,0.9090909090909091,0.9090909090909091
"(1, 2, 3, 8, 12)",0.9462777972221376,0.9492999911308287,0.2575757503509521,1.0,0.1967213114754098,0.3287671232876712,0.3287671232876712
"(1, 2, 4, 5, 8)",0.9372777938842772,0.9379000067710876,0.9090909361839294,1.0,0.6666666666666666,0.8,0.8
"(1, 2, 4, 6, 8)",0.9410555362701416,0.9434000253677368,0.8939393758773804,1.0,0.631578947368421,0.7741935483870968,0.7741935483870968
"(1, 2, 4, 7, 8)",0.936722218990326,0.9397000074386596,0.9242424368858336,1.0,0.7058823529411765,0.8275862068965517,0.8275862068965517
"(1, 2, 4, 8, 9)",0.9351666569709778,0.9394999742507936,0.9090909361839294,1.0,0.6666666666666666,0.8,0.8
"(1, 2, 4, 8, 10)",0.9403333067893982,0.9373999834060668,0.9090909361839294,1.0,0.6666666666666666,0.8,0.8
"(1, 2, 4, 8, 11)",0.9491666555404664,0.9502999782562256,0.9242424368858336,0.8333333333333334,0.7692307692307693,0.8,0.8
"(1, 2, 4, 8, 12)",0.9471111297607422,0.9490000009536744,0.2424242496490478,1.0,0.1935483870967742,0.3243243243243243,0.3243243243243243
"(1, 2, 5, 6, 8)",0.9404444694519044,0.9416999816894532,0.939393937587738,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.8461538461538461
"(1, 2, 5, 7, 8)",0.940833330154419,0.9419000148773192,0.9090909361839294,0.9166666666666666,0.6875,0.7857142857142857,0.7857142857142857
"(1, 2, 5, 8, 9)",0.5027222037315369,0.5,0.8181818127632141,0.0,0,0,0
"(1, 2, 5, 8, 10)",0.935611128807068,0.9368000030517578,0.9242424368858336,1.0,0.7058823529411765,0.8275862068965517,0.8275862068965517
"(1, 2, 5, 8, 11)",0.9503889083862304,0.9502999782562256,0.9545454382896424,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.8799999999999999
"(1, 2, 5, 8, 12)",0.944000005722046,0.9491999745368958,0.2727272808551788,1.0,0.2,0.3333333333333333,0.3333333333333333
"(1, 2, 6, 7, 8)",0.9427222013473512,0.944100022315979,0.9090909361839294,0.9166666666666666,0.6875,0.7857142857142857,0.7857142857142857
"(1, 2, 6, 8, 9)",0.5029444694519043,0.5,0.8181818127632141,0.0,0,0,0
"(1, 2, 6, 8, 10)",0.9313889145851136,0.9323999881744384,0.9242424368858336,1.0,0.7058823529411765,0.8275862068965517,0.8275862068965517
"(1, 2, 6, 8, 11)",0.9497222304344176,0.9502999782562256,0.939393937587738,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
"(1, 2, 6, 8, 12)",0.945277750492096,0.9484000205993652,0.2727272808551788,1.0,0.2,0.3333333333333333,0.3333333333333333
"(1, 2, 7, 8, 9)",0.9429444670677185,0.9452000260353088,0.939393937587738,1.0,0.75,0.8571428571428571,0.8571428571428571
"(1, 2, 7, 8, 10)",0.936888873577118,0.9391000270843506,0.939393937587738,1.0,0.75,0.8571428571428571,0.8571428571428571
"(1, 2, 7, 8, 11)",0.9488333463668824,0.9496999979019164,0.9242424368858336,0.9166666666666666,0.7333333333333333,0.8148148148148148,0.8148148148148148
"(1, 2, 7, 8, 12)",0.94650000333786,0.9491000175476074,0.2575757503509521,1.0,0.1967213114754098,0.3287671232876712,0.3287671232876712
"(1, 2, 8, 9, 10)",0.936722218990326,0.9394999742507936,0.9545454382896424,1.0,0.8,0.888888888888889,0.888888888888889
"(1, 2, 8, 9, 11)",0.9492777585983276,0.9503999948501588,0.9545454382896424,0.8333333333333334,0.9090909090909092,0.8695652173913043,0.8695652173913043
"(1, 2, 8, 9, 12)",0.9472222328186036,0.9492999911308287,0.3787878751754761,0.9166666666666666,0.2156862745098039,0.3492063492063492,0.3492063492063492
"(1, 2, 8, 10, 11)",0.9471111297607422,0.9502000212669371,0.9545454382896424,0.8333333333333334,0.9090909090909092,0.8695652173913043,0.8695652173913043
"(1, 2, 8, 10, 12)",0.9469444155693054,0.9473999738693236,0.2272727340459823,0.9166666666666666,0.180327868852459,0.3013698630136986,0.3013698630136986
"(1, 2, 8, 11, 12)",0.9488333463668824,0.9502000212669371,0.9242424368858336,0.9166666666666666,0.7333333333333333,0.8148148148148148,0.8148148148148148
"(1, 3, 4, 5, 8)",0.9394444227218628,0.9419999718666076,0.8787878751754761,1.0,0.6,0.7499999999999999,0.7499999999999999
"(1, 3, 4, 6, 8)",0.9349444508552552,0.9340000152587892,0.9242424368858336,1.0,0.7058823529411765,0.8275862068965517,0.8275862068965517
"(1, 3, 4, 7, 8)",0.9374444484710692,0.9388999938964844,0.9090909361839294,0.9166666666666666,0.6875,0.7857142857142857,0.7857142857142857
"(1, 3, 4, 8, 9)",0.9459444284439088,0.945800006389618,0.9545454382896424,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.8799999999999999
"(1, 3, 4, 8, 10)",0.9279999732971193,0.9279000163078308,0.9242424368858336,1.0,0.7058823529411765,0.8275862068965517,0.8275862068965517
"(1, 3, 4, 8, 11)",0.9497777819633484,0.9503999948501588,0.9696969985961914,0.8333333333333334,1.0,0.9090909090909092,0.9090909090909092
"(1, 3, 4, 8, 12)",0.9485555291175842,0.948099970817566,0.2424242496490478,1.0,0.1935483870967742,0.3243243243243243,0.3243243243243243
"(1, 3, 5, 6, 8)",0.9356666803359984,0.9369000196456908,0.9545454382896424,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.8799999999999999
"(1, 3, 5, 7, 8)",0.9446666836738586,0.9448999762535096,0.9090909361839294,1.0,0.6666666666666666,0.8,0.8
"(1, 3, 5, 8, 9)",0.9403889179229736,0.941100001335144,0.9545454382896424,1.0,0.8,0.888888888888889,0.888888888888889
"(1, 3, 5, 8, 10)",0.9284444451332092,0.9304999709129332,0.9242424368858336,1.0,0.7058823529411765,0.8275862068965517,0.8275862068965517
"(1, 3, 5, 8, 11)",0.9492777585983276,0.9501000046730042,0.9545454382896424,0.8333333333333334,0.9090909090909092,0.8695652173913043,0.8695652173913043
"(1, 3, 5, 8, 12)",0.933555543422699,0.9348000288009644,0.39393940567970276,1.0,0.23076923076923078,0.375,0.375
"(1, 3, 6, 7, 8)",0.9429444670677184,0.9442999958992004,0.9090909361839294,1.0,0.6666666666666666,0.8,0.8
"(1, 3, 6, 8, 9)",0.9455000162124634,0.9465000033378601,0.939393937587738,1.0,0.75,0.8571428571428571,0.8571428571428571
"(1, 3, 6, 8, 10)",0.9315000176429749,0.928600013256073,0.9242424368858336,1.0,0.7058823529411765,0.8275862068965517,0.8275862068965517
"(1, 3, 6, 8, 11)",0.9481666684150696,0.9502999782562256,0.9545454382896424,0.8333333333333334,0.9090909090909092,0.8695652173913043,0.8695652173913043
"(1, 3, 6, 8, 12)",0.9482222199440002,0.9480000138282776,0.2575757503509521,1.0,0.1967213114754098,0.3287671232876712,0.3287671232876712
"(1, 3, 7, 8, 9)",0.9418888688087464,0.9467999935150146,0.939393937587738,1.0,0.75,0.8571428571428571,0.8571428571428571
"(1, 3, 7, 8, 10)",0.9100555777549744,0.9071000218391418,0.8787878751754761,0.9166666666666666,0.6111111111111112,0.7333333333333334,0.7333333333333334
